% Model,Evan_segmented_faraday_v8.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 28 2021, 08:13"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),u_x (m/s),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","abs(ec.Jx*ec.Ex) + abs(ec.Jy*ec.Ey) + abs(ec.Jz*ec.Ez) (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power","u_x*(ec.Jy * B_z(x)) (W), Push Power","(ec.Jx-int_Jx(x,y,z))/ec.normJ (m^3), Opt_test_Jx","(ec.Jy-int_Jy(x,y,z))/ec.normJ (m^3), Opt_test_Jy","(ec.Jz-int_Jz(x,y,z))/ec.normJ (m^3), Opt_test_Jz"
0.05,1.6666666666666667,0,0.5,1200,1.1655484703167942,1200,6,60,1.8009452531924482E7,1.171506511065857E7,8027275.341652202,1.5855303775261195E7,1.4928765668682688E8,500,50,-3.5336697064086676E8,-6.292694496891491E7,0.014487063976448339,-0.051380477836613495,0.001338145862710865
0.05,1.6666666666666667,0,0.5,1800,1.165548466285493,1800,6,60,4.0521266448664896E7,2.635889471659029E7,1.80613689674742E7,3.567443209178799E7,3.358972284439905E8,500,50,-7.950755992978822E8,-1.415856257889814E8,0.008597144479526727,-0.09433823681600458,8.90747177357885E-4
0.05,1.6666666666666667,0,0.5,2400,1.165548469528892,2400,6,60,7.203780933514662E7,4.686025972407323E7,3.2109101204350144E7,6.342121463985112E7,5.971506277276957E8,500,50,-1.413467844415645E9,-2.5170777988062465E8,0.005652184742093503,-0.11581711693015442,6.670470393637242E-4
0.1,1.6666666666666667,0,0.5,1200,1.1655484688342916,1200,6,60,1.800945223754276E7,1.171506479234931E7,8027275.251325177,1.5855303538039148E7,1.4928765687718347E8,500,100,-3.5336695505774957E8,-6.292694491172607E7,0.014487063964175335,-0.05138047760577148,0.00133814612069306
0.1,1.6666666666666667,0,0.5,1800,1.1655484637298652,1800,6,60,4.052126615047842E7,2.635889420558529E7,1.806136880821022E7,3.5674431637485206E7,3.358972282214323E8,500,100,-7.950755796645429E8,-1.4158562561596718E8,0.008597144375333344,-0.09433823673340429,8.907472791236718E-4
0.1,1.6666666666666667,0,0.5,2400,1.1655484652866812,2400,6,60,7.203780767370349E7,4.686025727953018E7,3.210910030698717E7,6.3421212389642134E7,5.971506265990982E8,500,100,-1.4134677451704571E9,-2.517077787475297E8,0.0056521847026709945,-0.11581711655664716,6.670474679193143E-4
0.15000000000000002,1.6666666666666667,0,0.5,1200,1.1655484643704592,1200,6,60,1.8009451893322412E7,1.1715064144102111E7,8027275.018352897,1.5855302937875237E7,1.492876563148778E8,500,150.00000000000003,-3.533669295072467E8,-6.292694458318579E7,0.014487063942085484,-0.05138047693478995,0.0013381462480177209
0.15000000000000002,1.6666666666666667,0,0.5,1800,1.1655484629280288,1800,6,60,4.052126602480452E7,2.6358893471549362E7,1.8061368531974558E7,3.567443094356259E7,3.3589722692649764E8,500,150.00000000000003,-7.950755509055748E8,-1.4158562507833308E8,0.008597144484454013,-0.09433823645301662,8.90747184354776E-4
0.15000000000000002,1.6666666666666667,0,0.5,2400,1.1655484643702985,2400,6,60,7.203780723768666E7,4.686025647006286E7,3.210910004682335E7,6.342121170163652E7,5.971506260306599E8,500,150.00000000000003,-1.413467710477192E9,-2.517077784177512E8,0.005652184708819239,-0.11581711648194142,6.670474165996914E-4
0.2,1.6666666666666667,0,0.5,1200,1.1655484696683458,1200,6,60,1.800945239427866E7,1.1715065035405044E7,8027275.342761564,1.5855303759949643E7,1.4928765706370988E8,500,200,-3.533669652924538E8,-6.292694503574099E7,0.014487063900104612,-0.051380477847255045,0.0013381463636090382
0.2,1.6666666666666667,0,0.5,1800,1.1655484639213296,1800,6,60,4.052126654044932E7,2.6358894184644565E7,1.8061368745125346E7,3.567443150082657E7,3.358972268788822E8,500,200,-7.950755844493803E8,-1.4158562529289103E8,0.008597144427217214,-0.09433823663989822,8.907471391909869E-4
0.2,1.6666666666666667,0,0.5,2400,1.1655484685654323,2400,6,60,7.20378095111259E7,4.6860259692678116E7,3.210910115254282E7,6.342121445855678E7,5.971506275960085E8,500,200,-1.4134678533331087E9,-2.517077798243872E8,0.005652184728151566,-0.11581711688005059,6.670471013813653E-4
