% Model,Evan_continuous_faraday_v7.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 2 2021, 07:58"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ey*ec.Jy (W), Faraday Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm)
0.09,1.6666666666666667,0.002,0.3682012321098918,1800,6,60,3.5964640201249056E7,-3.526907583405502E8,-1.6086028751857784E7,1203933.7927166363,-3.6757285329969186E8,3.316081199232277E8,250,90
0.09,1.6666666666666667,0.004,0.382454037052255,1800,6,60,3.621009242770977E7,-4.087923728809126E8,-1.8621092811397124E7,1480789.8174602853,-4.259326758748494E8,3.8972228959103465E8,250,90
0.09,1.6666666666666667,0.006,0.4026570790006459,1800,6,60,3.6495670014786184E7,-4.860130713369388E8,-2.1982493422622584E7,1884560.644581299,-5.0611100411497927E8,4.69615326070397E8,250,90
0.09,1.6666666666666667,0.008,0.4332637146432815,1800,6,60,3.685177988981958E7,-5.991093481287402E8,-2.6580404275222406E7,2513616.475686346,-6.231761359282768E8,5.863242282089329E8,250,90
0.091,1.6666666666666667,0.002,0.3864521525739563,1800,6,60,4.203352364336924E7,-3.667183145600078E8,-1.4732119628844904E7,1202123.5230494416,-3.8024831066580474E8,3.3821469111528456E8,250,91
0.091,1.6666666666666667,0.004,0.39982510304943597,1800,6,60,4.2351449479649E7,-4.250543200255534E8,-1.696693292360309E7,1481320.4406557884,-4.405399325085007E8,3.9818818052207077E8,250,91
0.091,1.6666666666666667,0.006,0.41889973702753364,1800,6,60,4.272528426411521E7,-5.053794255428446E8,-1.9884676826696023E7,1887172.9568321453,-5.233769294127086E8,4.8065165646913695E8,250,91
0.091,1.6666666666666667,0.008,0.4480053195897018,1800,6,60,4.319594412070474E7,-6.230807504293993E8,-2.3769452652994834E7,2515966.0767307654,-6.443342370056636E8,6.011381459992937E8,250,91
0.092,1.6666666666666667,0.002,0.4014224677226357,1800,6,60,4.736481887686201E7,-3.7652909345802844E8,-1.3523881945138188E7,1195408.7451976282,-3.8885756665796816E8,3.4149265307651186E8,250,92
0.092,1.6666666666666667,0.004,0.41411447603521007,1800,6,60,4.775282610762235E7,-4.3642066017389756E8,-1.5499267167094268E7,1474535.9917052947,-4.5044539134928703E8,4.026922596172065E8,250,92
0.092,1.6666666666666667,0.006,0.43220639531827926,1800,6,60,4.821239619499317E7,-5.189093830655772E8,-1.8038078466945473E7,1879153.793778833,-5.3506830773874635E8,4.8685593537720096E8,250,92
0.092,1.6666666666666667,0.008,0.46002776036448506,1800,6,60,4.879465998418883E7,-6.398238631775284E8,-2.132337250686734E7,2503243.6530868355,-6.586439920313094E8,6.098491678832893E8,250,92
0.093,1.6666666666666667,0.002,0.41330053878573086,1800,6,60,5.183740765986502E7,-3.832743091879148E8,-1.2485000930657357E7,1179700.6519945385,-3.9457960946657807E8,3.427421071752748E8,250,93
0.093,1.6666666666666667,0.004,0.4254973272739066,1800,6,60,5.2289398402059875E7,-4.442321277962569E8,-1.424162646437339E7,1455802.1545480103,-4.5701795210608107E8,4.047282499791984E8,250,93
0.093,1.6666666666666667,0.006,0.44285794020518154,1800,6,60,5.2827479059574425E7,-5.282062390812247E8,-1.6463303408561645E7,1855147.099801208,-5.428143953899859E8,4.899869488310746E8,250,93
0.093,1.6666666666666667,0.008,0.46958972068489735,1800,6,60,5.351210691349815E7,-6.51330462600079E8,-1.925232675301171E7,2469044.8299078206,-6.681137445231816E8,6.146014618860489E8,250,93
0.094,1.6666666666666667,0.002,0.42242644052312944,1800,6,60,5.543479723330368E7,-3.8785977788387764E8,-1.1628534287772045E7,1156425.292479038,-3.9833188687917036E8,3.4289698955021524E8,250,94
0.094,1.6666666666666667,0.004,0.4342810021130183,1800,6,60,5.594230740727349E7,-4.495410058937943E8,-1.3207176688535664E7,1427249.6625771765,-4.613209329197531E8,4.0537832514795774E8,250,94
0.094,1.6666666666666667,0.006,0.4511120131326929,1800,6,60,5.654865751236049E7,-5.345245559189246E8,-1.5172255099771712E7,1818324.9436202722,-5.478784860750768E8,4.913298709123269E8,250,94
0.094,1.6666666666666667,0.008,0.47701034886053956,1800,6,60,5.732236867156812E7,-6.591530674380063E8,-1.7563064253028248E7,2418110.6936215237,-6.742980209974132E8,6.169754650288448E8,250,94
0.095,1.6666666666666667,0.002,0.4291968432475784,1800,6,60,5.8216286556398645E7,-3.909280346930866E8,-1.097145300543265E7,1128940.4391523127,-4.0077054725936675E8,3.42554163445806E8,250,95
0.095,1.6666666666666667,0.004,0.44081758204035615,1800,6,60,5.8769686207161315E7,-4.5308879223707396E8,-1.2417848707430854E7,1393292.9201209212,-4.641133480243836E8,4.0534336389714813E8,250,95
0.095,1.6666666666666667,0.006,0.4572734795942235,1800,6,60,5.943254072263105E7,-5.387408809393396E8,-1.4194419035305928E7,1774604.8705456078,-5.511606951040999E8,4.917282022570529E8,250,95
0.095,1.6666666666666667,0.008,0.48255990192291315,1800,6,60,6.027999654980465E7,-6.643638658037475E8,-1.6297319949045014E7,2358551.7401661947,-6.783026340126269E8,6.180224433895257E8,250,95
