% Model,Evan_segmented_faraday_v5.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 22 2021, 09:18"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ey*ec.Jy (W), Faraday Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating"
0.1,0,0,0.24597715668446266,1800,6,60,1.6127182210566208E7,-1.1129511313454203E8,159941.28539094506,340.8945789335648,-1.1113483095457248E8,4.74207239643701E7
0.1,0,0.012,0.24597715528228395,1800,6,60,1.6127182026286695E7,-1.1129511317022885E8,159941.2785158149,340.8945213709838,-1.1113483099719235E8,4.742072202982344E7
0.1,1,0,0.24440513374487732,1800,6,60,1.583426215392762E7,-1.1084124409404618E8,-63297.79894815688,131427.89173634237,-1.107731140012581E8,4.738261105712892E7
0.1,1,0.012,0.25024056675980677,1800,6,60,1.60563572599275E7,-1.9486114165582982E8,-210347.88748814265,325368.14046220126,-1.947461214028575E8,8.919098943911275E7
0.1,1.6666666666666667,0,0.24592915012978855,1800,6,60,1.5583588911728993E7,-1.1056534357540962E8,-269912.83012190077,298914.34092214075,-1.105363420646099E8,4.739081288997298E7
0.1,1.6666666666666667,0.012,0.33550542798338534,1800,6,60,1.589501461370378E7,-3.9394965257993114E8,-1249348.4004938686,1313101.333875491,-3.938858996465466E8,1.88621505852598E8
0.15000000000000002,0,0,0.24955842153181718,1800,6,60,1.6600415667322852E7,-1.1173568004679382E8,155146.68935815955,233.9851210219136,-1.115802993723141E8,4.74827570013911E7
0.15000000000000002,0,0.012,0.2495584220924206,1800,6,60,1.6600415742140677E7,-1.117356800265515E8,155146.6915555414,233.98509558495067,-1.1158029934990163E8,4.7482757782194756E7
0.15000000000000002,1,0,0.247957517898289,1800,6,60,1.629976389032781E7,-1.1128528372176675E8,-71133.88266616668,117008.3996034437,-1.112394092048292E8,4.746046361467963E7
0.15000000000000002,1,0.012,0.253482678495201,1800,6,60,1.652903944828244E7,-1.9560049824964353E8,-225855.449400832,285690.1586652012,-1.9554066354037997E8,8.948851286598657E7
0.15000000000000002,1.6666666666666667,0,0.24918857190038274,1800,6,60,1.6042035008858085E7,-1.1100932310902634E8,-276997.0040246331,270672.6555769307,-1.1101564745747353E8,4.7478162928970896E7
0.15000000000000002,1.6666666666666667,0.012,0.33639591354290227,1800,6,60,1.6363875795997435E7,-3.9544730734698373E8,-1214168.06273707,1173613.7065928013,-3.9548786170313203E8,1.894613979189764E8
0.2,0,0,0.25175116129279834,1800,6,60,1.689344695955069E7,-1.1204497452821532E8,152307.74834234104,227.16652546670113,-1.1189243961334787E8,4.749932985481478E7
0.2,0,0.012,0.2517511586900231,1800,6,60,1.6893446610781934E7,-1.1204497465660106E8,152307.72617769154,227.16644428913037,-1.1189243976397887E8,4.749932621244591E7
0.2,1,0,0.2501369056781263,1800,6,60,1.6587444868661871E7,-1.1159029820438541E8,-80657.80542318954,101841.97222232053,-1.1156911403758657E8,4.748974642862751E7
0.2,1,0.012,0.2555456220808461,1800,6,60,1.682076369245821E7,-1.9610969591767085E8,-247503.55555980952,242940.2842427445,-1.9611425918898726E8,8.964374303965859E7
0.2,1.6666666666666667,0,0.25125633287735366,1800,6,60,1.6325073184718508E7,-1.1131194118860382E8,-289134.92551267415,239006.04061857134,-1.1136207007349993E8,4.751766286719319E7
0.2,1.6666666666666667,0.012,0.3369503370515365,1800,6,60,1.6652405814942162E7,-3.964844289525791E8,-1214952.0422997377,1007333.0934017294,-3.9669204790147966E8,1.8994446205148894E8
0.25,0,0,0.25391975637894226,1800,6,60,1.7185760758996464E7,-1.1235268819735816E8,149774.7813468309,224.27196337355974,-1.1220268914404899E8,4.750399077645384E7
0.25,0,0.012,0.25391975562668584,1800,6,60,1.718576065726864E7,-1.1235268823682679E8,149774.77533088916,224.27185991210726,-1.1220268918963534E8,4.750398975368439E7
0.25,1,0,0.2522900521226673,1800,6,60,1.687397910420348E7,-1.1189456086486796E8,-88684.80399021468,87789.85545557692,-1.1189545581340238E8,4.7506042360416405E7
0.25,1,0.012,0.2576324891820364,1800,6,60,1.7111303458221767E7,-1.966199829513666E8,-264891.09317006374,202485.17606809494,-1.966823888684699E8,8.977568289471713E7
0.25,1.6666666666666667,0,0.25333706130722955,1800,6,60,1.6606935177946743E7,-1.116147956741376E8,-299317.604553794,208462.76371100493,-1.1170565051498006E8,4.75443891559724E7
0.25,1.6666666666666667,0.012,0.3376900186611856,1800,6,60,1.69398595606152E7,-3.975518257987498E8,-1184794.2444868018,835955.0223706266,-3.9790066502086717E8,1.903877399119578E8
