% Model,Untitled.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 1 2021, 12:19"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ey*ec.Jy (W), Faraday Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm)
0.09,0,0,0.18998687892236574,1800,6,60,9615236.66581725,-1.0204575692583217E8,290142.41815001017,1879.2285008807676,-1.0175373527918144E8,9.213908444992575E7,250,90
0.09,0,0.012,0.18998688984133996,1800,6,60,9615237.772921955,-1.0204575890878251E8,290142.5024963544,1879.2255707272907,-1.0175373718071505E8,9.213911011159843E7,250,90
0.09,1.6666666666666667,0,0.2016352647657473,1800,6,60,9269848.073937267,-1.0094084816893004E8,-361383.3379862898,246578.1403234951,-1.0105565336659338E8,9.178640402789903E7,250,90
0.09,1.6666666666666667,0.012,0.3202223423916699,1800,6,60,9420439.052893912,-3.6109741757397354E8,-2005982.6662539763,1189273.287109702,-3.6191412695311636E8,3.5249436754404217E8,250,90
0.095,0,0,0.23609441761493868,1800,6,60,1.4855862054553658E7,-1.1044792366533044E8,173272.14232793037,550.4106697019563,-1.1027410111233357E8,9.541918277040869E7,250,95
0.095,0,0.012,0.23609441725483774,1800,6,60,1.4855862008922305E7,-1.1044792365833013E8,173272.14273100058,550.4107182078712,-1.1027410110488175E8,9.541918176235634E7,250,95
0.095,1.6666666666666667,0,0.23780225895383328,1800,6,60,1.4348133948270261E7,-1.096214233977829E8,-312789.9941799082,313714.37734381016,-1.0962049901461776E8,9.527329059942439E7,250,95
0.095,1.6666666666666667,0.012,0.33304098494456275,1800,6,60,1.4623460331976157E7,-3.908701935600572E8,-1541517.2079020205,1429734.4320945865,-3.909819763358682E8,3.763595274209011E8,250,95
0.09999999999999999,0,0,0.24597715439583107,1800,6,60,1.61271819097928E7,-1.1129511319301234E8,159941.27401717752,340.89457244638925,-1.1113483102442305E8,9.500867109800212E7,250,99.99999999999999
0.09999999999999999,0,0.012,0.24597715630783643,1800,6,60,1.6127182160328861E7,-1.1129511313042791E8,159941.28930926707,340.894566128198,-1.1113483094655325E8,9.500867637095656E7,250,99.99999999999999
0.09999999999999999,1.6666666666666667,0,0.24592915179615885,1800,6,60,1.5583589192813393E7,-1.1056534382843326E8,-269912.5787757922,298914.3231009892,-1.1053634208410744E8,9.495375767087445E7,250,99.99999999999999
0.09999999999999999,1.6666666666666667,0.012,0.33550542773437053,1800,6,60,1.5895014536260938E7,-3.939496522983062E8,-1249348.683282911,1313101.3437494466,-3.9388589963784015E8,3.779919708054363E8,250,99.99999999999999
0.105,0,0,0.2471938499147836,1800,6,60,1.6287286571769126E7,-1.1139764219695443E8,158614.52559244243,294.9216031168556,-1.1123873274976099E8,9.495247898892555E7,250,105
0.105,0,0.012,0.24719385157204465,1800,6,60,1.62872867905096E7,-1.1139764214649087E8,158614.53486909744,294.9215922232461,-1.1123873269003035E8,9.49524836413342E7,250,105
0.105,1.6666666666666667,0,0.24697766941927324,1800,6,60,1.5739321684674684E7,-1.1067645608759615E8,-267685.67563005193,293003.30576438585,-1.1065113845746174E8,9.491282627020617E7,250,105
0.105,1.6666666666666667,0.012,0.3357775939187534,1800,6,60,1.605545400976053E7,-3.9429832082065123E8,-1235417.0890722573,1280299.9315387087,-3.942534379781889E8,3.7819907994133246E8,250,105
0.11,0,0,0.2475092335782707,1800,6,60,1.6328877071450517E7,-1.1144526011070241E8,158111.33760437867,274.4082105610502,-1.1128687436488703E8,9.495903387358765E7,250,110
0.11,0,0.012,0.24750923568565783,1800,6,60,1.6328877348451363E7,-1.1144526001686643E8,158111.36069626623,274.4081650175488,-1.1128687424800402E8,9.495903961088312E7,250,110
0.11,1.6666666666666667,0,0.24727506304671593,1800,6,60,1.5779515215756394E7,-1.1072310927121732E8,-268940.32986264967,291011.1010637555,-1.107010385000166E8,9.49225379642949E7,250,110
0.11,1.6666666666666667,0.012,0.3358651984618501,1800,6,60,1.6096372589347439E7,-3.9445907443943715E8,-1233475.254425667,1271458.755886314,-3.9442109093798363E8,3.7832581615037084E8,250,110
0.11499999999999999,0,0,0.24780190237935135,1800,6,60,1.636752038997849E7,-1.114882260652051E8,157657.81725681038,261.4522433151381,-1.1133030679570544E8,9.496382703235364E7,250,114.99999999999999
0.11499999999999999,0,0.012,0.2478019010679153,1800,6,60,1.6367520217072483E7,-1.1148822611679813E8,157657.80557559192,261.45218032943427,-1.1133030685904182E8,9.496382341458155E7,250,114.99999999999999
0.11499999999999999,1.6666666666666667,0,0.24754970012895905,1800,6,60,1.5816860943376157E7,-1.1076574120697062E8,-269627.96577050176,288930.3108507573,-1.1074643886189003E8,9.49305936709668E7,250,114.99999999999999
0.11499999999999999,1.6666666666666667,0.012,0.33595066825396674,1800,6,60,1.6134397003287818E7,-3.946102552697006E8,-1225463.0044890796,1262012.6382090389,-3.9457370563598126E8,3.7844041461112165E8,250,114.99999999999999
0.12,0,0,0.2480826108990501,1800,6,60,1.6404629152069483E7,-1.1152817347671923E8,157239.97868890603,252.80428735545604,-1.1137068069374324E8,9.496708847240119E7,250,120
0.12,0,0.012,0.24808260518293268,1800,6,60,1.6404628395698113E7,-1.1152817367830178E8,157239.9408609045,252.80428413643867,-1.1137068093315595E8,9.49670724794955E7,250,120
0.12,1.6666666666666667,0,0.24781173893041392,1800,6,60,1.58527410404601E7,-1.1080550031932223E8,-270271.87965663656,286663.98050390696,-1.1078910821847394E8,9.493738354397628E7,250,120
0.12,1.6666666666666667,0.012,0.3360300902270359,1800,6,60,1.617095869702204E7,-3.9475079944348055E8,-1218009.5078630918,1251477.5767390304,-3.947173313746039E8,3.7854747910159504E8,250,120
0.125,0,0,0.24834891135810439,1800,6,60,1.6439872008818055E7,-1.115658237016454E8,156850.60576230485,246.86749764576834,-1.1140872622838321E8,9.496989727720514E7,250,125
0.125,0,0.012,0.24834891238060178,1800,6,60,1.6439872144150004E7,-1.1156582366241941E8,156850.61337796593,246.86751809053592,-1.114087261815242E8,9.496990012401295E7,250,125
0.125,1.6666666666666667,0,0.24806003821409536,1800,6,60,1.5886818247537624E7,-1.1084282742336161E8,-271069.4649442976,284279.86993731064,-1.1082961701836875E8,9.49438184848203E7,250,125
