% Model,Evan_segmented_faraday_v5.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 2 2021, 08:37"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ey*ec.Jy (W), Faraday Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm)
0.09,1.6666666666666667,0.002,0.20669202884068472,1800,6,60,9301865.636947455,-1.1474708733864026E8,-444428.3006350462,293561.4646717702,-1.1489795417460413E8,1.0559669467573307E8,250,90
0.09,1.6666666666666667,0.004,0.21378893176955574,1800,6,60,9331843.294222787,-1.3290703989071698E8,-558451.3877347496,357354.41577083606,-1.3310813686268045E8,1.2377683743058132E8,250,90
0.09,1.6666666666666667,0.006,0.2242189683402026,1800,6,60,9359332.030103434,-1.5786984781145978E8,-720218.343900421,447637.41636225913,-1.58142428738999E8,1.4878379895915154E8,250,90
0.09,1.6666666666666667,0.008,0.2403679375768128,1800,6,60,9383748.35385977,-1.9434505792711896E8,-961824.5479082859,582532.2553953014,-1.9472435021963271E8,1.8534121657632712E8,250,90
0.0925,1.6666666666666667,0.002,0.22900711230704074,1800,6,60,1.2501763241467195E7,-1.22040955839687E8,-431117.3953834354,361381.4395426841,-1.221106917955268E8,1.0960972503527682E8,250,92.5
0.0925,1.6666666666666667,0.004,0.23478115324195092,1800,6,60,1.2544695025114184E7,-1.4130742068642017E8,-535461.2292224109,439892.326433032,-1.4140298958920804E8,1.28859024393995E8,250,92.5
0.0925,1.6666666666666667,0.006,0.24352762879010917,1800,6,60,1.2584830477280635E7,-1.677920401426205E8,-682387.7259833228,550473.1034337424,-1.6792395476516992E8,1.55340039502669E8,250,92.5
0.0925,1.6666666666666667,0.008,0.257470828173964,1800,6,60,1.2621568840264693E7,-2.0649156871224982E8,-900134.9148003005,714407.5347236253,-2.0667729609232467E8,1.940565572800319E8,250,92.5
0.095,1.6666666666666667,0.002,0.24116611820114606,1800,6,60,1.4401595429944994E7,-1.24545709795399E8,-379344.28398631094,372758.6479717274,-1.2455229543141322E8,1.1015161577125937E8,250,95
0.095,1.6666666666666667,0.004,0.24616319798277503,1800,6,60,1.4452672096300932E7,-1.441774293517063E8,-469641.8334876059,452345.2810733806,-1.4419472590412158E8,1.2974289613226216E8,250,95
0.095,1.6666666666666667,0.006,0.25395458555853173,1800,6,60,1.4500889381501118E7,-1.7116510766592497E8,-595705.4903668815,563829.6534629517,-1.7119698350282946E8,1.566971373396008E8,250,95
0.095,1.6666666666666667,0.008,0.2666451620729244,1800,6,60,1.4545693697793923E7,-2.106010559207326E8,-780526.5518999568,727901.4857188979,-2.1065368098691335E8,1.9610894609703848E8,250,95
0.0975,1.6666666666666667,0.002,0.24673535041137898,1800,6,60,1.5296027660035618E7,-1.2534708247586274E8,-341513.04069719743,363319.0093245264,-1.2532527650723335E8,1.1003021318818736E8,250,97.5
0.0975,1.6666666666666667,0.004,0.2513513521053863,1800,6,60,1.5351139583699752E7,-1.4509104313122725E8,-422079.37061104155,439718.9086142542,-1.4507340359322336E8,1.2972316447724411E8,250,97.5
0.0975,1.6666666666666667,0.006,0.2586815993409107,1800,6,60,1.5403416316338666E7,-1.722338667771515E8,-533585.6543963985,546341.1410664307,-1.7222111129048234E8,1.568187929768476E8,250,97.5
0.0975,1.6666666666666667,0.008,0.27078625179059873,1800,6,60,1.5452358910800911E7,-2.1189799771121275E8,-695053.4535799555,702524.3655684869,-2.118905267992228E8,1.9643918943474144E8,250,97.5
0.09999999999999999,1.6666666666666667,0.002,0.24888918000139726,1800,6,60,1.5642692441086596E7,-1.2560043088344638E8,-327086.95131217176,353918.9617146569,-1.2557359887304518E8,1.0993189647635654E8,250,99.99999999999999
0.09999999999999999,1.6666666666666667,0.004,0.253352341828441,1800,6,60,1.569943033395918E7,-1.4537848452057493E8,-404135.86035320046,427719.981159444,-1.453549003997694E8,1.2965638535796227E8,250,99.99999999999999
0.09999999999999999,1.6666666666666667,0.006,0.26049669503537637,1800,6,60,1.5753364433200467E7,-1.7256841634922394E8,-510422.53913489357,530534.2817333295,-1.7254830460662428E8,1.567960694202078E8,250,99.99999999999999
0.09999999999999999,1.6666666666666667,0.008,0.27236942114618434,1800,6,60,1.5804021109475479E7,-2.123017683000865E8,-663617.8020271568,680822.7156990111,-2.1228456338641226E8,1.964815815894419E8,250,99.99999999999999
