% Model,Evan_segmented_faraday_v5.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 22 2021, 10:10"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ey*ec.Jy (W), Faraday Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm)
0.1,0,0,0.16869414008356498,1800,6,60,7584160.084810541,-8.809767013802865E7,242587.823798618,437.6275685143635,-8.785464468666127E7,8.02709988379202E7,500,100
0.1,0,0.012,0.16869413891474816,1800,6,60,7584159.980025386,-8.809767008280782E7,242587.80450537326,437.6276336266244,-8.785464465066855E7,8.027099573564515E7,500,100
0.1,1,0,0.16766328444861064,1800,6,60,7448968.350085276,-8.777206991385955E7,100497.93536340352,101327.5133196258,-8.757024446517614E7,8.012135364189376E7,500,100
0.1,1,0.012,0.17642873093975436,1800,6,60,7514222.630064664,-1.545943502052538E8,179048.0688640608,246534.7413332432,-1.5416876739505595E8,1.4665513725431195E8,500,100
0.1,1.6666666666666667,0,0.1728499278824782,1800,6,60,7331938.1881815195,-8.760850190316077E7,-17353.029224387596,201839.90810152737,-8.742401502428223E7,8.009264446213809E7,500,100
0.1,1.6666666666666667,0.012,0.29600848675100133,1800,6,60,7426079.370214926,-3.1420179163151854E8,1184258.2854320484,776886.3099493012,-3.122406470361398E8,3.0481554049110305E8,500,100
0.15000000000000002,0,0,0.17065962902622728,1800,6,60,7762053.703743348,-8.877178939595628E7,239185.46964731242,351.35990056093647,-8.853225256640844E7,8.077072272733787E7,500,150.00000000000003
0.15000000000000002,0,0.012,0.1706596299491094,1800,6,60,7762053.787473058,-8.877178943500283E7,239185.48430210416,351.36005120426006,-8.853225259065029E7,8.077072520498903E7,500,150.00000000000003
0.15000000000000002,1,0,0.16959995241851986,1800,6,60,7623976.855179137,-8.84258447660212E7,67444.6788213746,89418.07200620319,-8.826898201519272E7,8.064506243152744E7,500,150.00000000000003
0.15000000000000002,1,0.012,0.17792702609586877,1800,6,60,7691180.248172948,-1.5569621676300114E8,80271.55170391474,215028.4129984871,-1.55400916798299E8,1.4771033634859592E8,500,150.00000000000003
0.15000000000000002,1.6666666666666667,0,0.17440766748401398,1800,6,60,7504395.146446824,-8.82408483881372E7,-71590.24973336727,180062.68018855614,-8.813237595768157E7,8.062855821045467E7,500,150.00000000000003
0.15000000000000002,1.6666666666666667,0.012,0.2953878175309059,1800,6,60,7601650.643282887,-3.1589500479051715E8,473354.3788758789,695762.9010252781,-3.147258875106161E8,3.0712490772403735E8,500,150.00000000000003
0.2,0,0,0.1719092580857478,1800,6,60,7876158.655607342,-8.927913772022691E7,236951.88288326727,345.80052875890186,-8.904184003681438E7,8.116621636983731E7,500,200
0.2,0,0.012,0.17190925739606763,1800,6,60,7876158.592002602,-8.927913767475809E7,236951.87970765447,345.800500101509,-8.90418399945501E7,8.116621440310875E7,500,200
0.2,1,0,0.17083724280136578,1800,6,60,7735877.188620815,-8.89246867832501E7,52307.23135503539,78188.34799269958,-8.879419120390339E7,8.105836705190454E7,500,200
0.2,1,0.012,0.17893027656443383,1800,6,60,7804039.399972975,-1.565534694050367E8,36643.009540754356,184218.76056911153,-1.5633260763492787E8,1.4852906730422074E8,500,200
0.2,1.6666666666666667,0,0.1754518142009922,1800,6,60,7614464.782291803,-8.872876951261668E7,-97380.94271271993,158181.70038884092,-8.866796875494103E7,8.10540869310877E7,500,200
0.2,1.6666666666666667,0.012,0.2950321485817047,1800,6,60,7712903.527891984,-3.1736599557689977E8,138237.7783808622,609468.0315679096,-3.1661828976695096E8,3.089060105409789E8,500,200
0.25,0,0,0.17309065201798654,1800,6,60,7984789.794063028,-8.977812369536032E7,235044.2439440914,344.60475022691105,-8.95427348466659E7,8.155848837886214E7,500,250
0.25,0,0.012,0.17309065061397727,1800,6,60,7984789.664157724,-8.977812362029146E7,235044.23143271593,344.60472221106966,-8.954273478413773E7,8.15584844341518E7,500,250
0.25,1,0,0.17200990826289994,1800,6,60,7842401.0760662,-8.94180603312823E7,41485.035277278206,67717.21816450098,-8.930885807783931E7,8.146651208608322E7,500,250
0.25,1,0.012,0.1799314100317968,1800,6,60,7911477.339620628,-1.5740660309199527E8,5711.394203757067,155134.20850916207,-1.5724575748928306E8,1.4933478482477483E8,500,250
0.25,1.6666666666666667,0,0.17648121715496815,1800,6,60,7719222.860487569,-8.92135127530566E7,-116482.89170548387,137227.27096771626,-8.919276837379424E7,8.147413539217044E7,500,250
0.25,1.6666666666666667,0.012,0.29477884424268597,1800,6,60,7818786.421225421,-3.1888661974293584E8,-114933.0276364198,522009.85605564667,-3.184795429145163E8,3.106613533363378E8,500,250
