% Model,Evan_segmented_faraday_v8.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 10 2021, 09:12"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.16666666666666666,0,0.5756873119487453,1800,6,60,2.2017403447903275E7,-3371481.616618565,-1.6940585188822055E9
0.16666666666666666,0.003,0.5713659171745699,1800,6,60,2.168882738197346E7,-3321240.290918406,-1.668777586028197E9
0.16666666666666666,0.006,0.5671088229697359,1800,6,60,2.136752048451706E7,-3272107.8909916338,-1.6440559109283826E9
0.16666666666666666,0.009000000000000001,0.5629143609699704,1800,6,60,2.105325281532087E7,-3224053.0026225685,-1.619877506467391E9
0.16666666666666666,0.012,0.5587813293257208,1800,6,60,2.074583427120064E7,-3177044.1755383783,-1.5962266713949661E9
0.16666666666666666,0.015,0.55470844986981,1800,6,60,2.0445072483032063E7,-3131051.7080881563,-1.5730879583566346E9
0.8333333333333334,0,0.5878336503197202,1800,6,60,2.031409587531357E7,-2936409.6653049723,-1.5968354849472313E9
0.8333333333333334,0.003,0.5661235169741377,1800,6,60,1.8980850608426373E7,-2761259.5176854623,-1.488770950268873E9
0.8333333333333334,0.006,0.5459806660891356,1800,6,60,1.776781462895047E7,-2598235.9171703253,-1.3909826437089827E9
0.8333333333333334,0.009000000000000001,0.5272356752096444,1800,6,60,1.6662120080444274E7,-2446973.6374642644,-1.302256899691143E9
0.8333333333333334,0.012,0.509747633765444,1800,6,60,1.5652344329352865E7,-2306869.3493962386,-1.2215460272779157E9
0.8333333333333334,0.015,0.4933891357438805,1800,6,60,1.4728369749616219E7,-2177203.845986546,-1.1479440489197612E9
1.6666666666666667,0,0.6356499508938934,1800,6,60,1.7923944767399434E7,-2138813.463469576,-1.503885415046216E9
1.6666666666666667,0.003,0.5893168287516022,1800,6,60,1.588325612819799E7,-1977395.6853165007,-1.318896846332955E9
1.6666666666666667,0.006,0.5489858713726079,1800,6,60,1.4151230628994958E7,-1818082.1536469217,-1.1649664678857913E9
1.6666666666666667,0.009000000000000001,0.5136433896526013,1800,6,60,1.2673152280683968E7,-1667631.44477538,-1.0357156611458118E9
1.6666666666666667,0.012,0.4824644002405261,1800,6,60,1.1404724858628966E7,-1528898.3029980876,-9.262811809544104E8
1.6666666666666667,0.015,0.454796825907694,1800,6,60,1.0310149618002161E7,-1402661.8133055507,-8.329101614339067E8
