% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 12 2021, 20:22"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),B_app (T),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.02,1.6666666666666667,0,3,0.7894814913055036,1800,3,60,386061.46382870025,-14271.66350358976,4527.776777593237,-515153.6532767927,129091.93548150278,100,20,-2.2973171206854266E8
0.02,1.6666666666666667,0,6,0.8255513655460593,1800,6,60,1443376.0009059515,-90591.85834225368,77408.68775004975,-1271070.8840828196,-172306.04829904804,100,20,-5.717671424957395E8
0.02,1.6666666666666667,0,10,0.8302416997929849,1800,10,60,3223109.489294686,-480858.1196913752,428177.9448402456,-3432119.0192782218,209007.0749363615,100,20,-1.53610856564869E9
0.03,1.6666666666666667,0,3,0.8031488577501282,1800,3,60,396778.3168959137,-13691.305158015788,4770.728378017266,-483735.1005265288,86956.565453974,100,30,-2.158247835211498E8
0.03,1.6666666666666667,0,6,0.8230291184292533,1800,6,60,1435226.7114778582,-93503.12686668405,76865.34556417477,-1304646.7931544788,-130579.86180699735,100,30,-5.85458641750898E8
0.03,1.6666666666666667,0,10,0.8301254821778575,1800,10,60,3186403.625034304,-510278.25493096584,424154.62133198726,-3606392.139792321,419986.39703978965,100,30,-1.600122048269695E9
0.04,1.6666666666666667,0,3,0.8386677957213927,1800,3,60,440226.2577045467,-6491.746708489755,4907.599836375146,-363000.9329218196,-77225.53992804728,100,40,-1.642803572953216E8
0.04,1.6666666666666667,0,6,0.820578452246565,1800,6,60,1420452.0279647987,-99332.39314807816,76206.55784786279,-1360087.6136801695,-60365.06757447524,100,40,-6.077098992636204E8
0.04,1.6666666666666667,0,10,0.8314263109441298,1800,10,60,3156418.639127692,-534732.3248073286,420822.4905760767,-3748232.7384625953,591812.1739402885,100,40,-1.6519649564688041E9
0.05,1.6666666666666667,0,3,0.8381772910929918,1800,3,60,439988.60922088264,-6409.0026389169925,4874.826661092411,-364406.6980952502,-75582.1463070607,100,50,-1.6494205550792047E8
0.05,1.6666666666666667,0,6,0.8185585973317805,1800,6,60,1406234.236459517,-104632.19577659477,75525.04942791817,-1413424.6825210373,7189.338769498936,100,50,-6.292352437147198E8
0.05,1.6666666666666667,0,10,0.8342770275667126,1800,10,60,3131646.108078076,-554655.2405801698,418110.65187416296,-3864193.349882088,732544.9900221269,100,50,-1.6943858005345976E9
0.06,1.6666666666666667,0,3,0.8355278360377936,1800,3,60,437101.1475939331,-6813.1632411252385,4845.8956283671605,-373091.9091093242,-64009.500419984906,100,60,-1.6869301886207724E8
0.06,1.6666666666666667,0,6,0.8170362737343316,1800,6,60,1392888.4091450302,-109349.58524757254,74853.2753107708,-1463385.3989422533,70496.07292244778,100,60,-6.494950404570286E8
0.06,1.6666666666666667,0,10,0.8380971004332466,1800,10,60,3112973.0210979246,-569703.0507394092,416184.6980913885,-3951097.1912581273,838121.7050130533,100,60,-1.72617219936823E9
0.07,1.6666666666666667,0,3,0.832884856596577,1800,3,60,434220.84314932756,-7192.716886137237,4816.763815439565,-381707.2609477431,-52514.017221898444,100,70,-1.7242332176229468E8
0.07,1.6666666666666667,0,6,0.8159950647013069,1800,6,60,1380577.0758866263,-113492.65802643771,74211.66341944698,-1509330.437003505,128752.03486912072,100,70,-6.682042919984156E8
0.07,1.6666666666666667,0,10,0.8388726443651852,1800,10,60,3104035.3449447462,-574033.4117069652,414555.9787538672,-4000301.8614923144,896265.6783243024,100,70,-1.745829285699658E9
0.08,1.6666666666666667,0,3,0.8302812099646667,1800,3,60,431383.99743539095,-7543.329178130334,4787.821613227981,-390144.90545696625,-41239.35669161215,100,80,-1.760860899509403E8
0.08,1.6666666666666667,0,6,0.8154728898503049,1800,6,60,1369290.1577332073,-117195.01391856687,73624.039171341,-1551119.7438088702,181828.60311476502,100,80,-6.852494404825737E8
0.08,1.6666666666666667,0,10,0.8326422751506013,1800,10,60,3107670.864670626,-562347.822476465,412400.3457418907,-4009077.2276800545,901404.4978244184,100,80,-1.7541498867934191E9
0.09000000000000001,1.6666666666666667,0,3,0.8277389841712282,1800,3,60,428614.30403147213,-7863.472478357189,4759.325183913199,-398336.25225417473,-30278.203654931844,100,90.00000000000001,-1.7965095679987863E8
0.09000000000000001,1.6666666666666667,0,6,0.8155902480939226,1800,6,60,1359171.570297392,-120599.71527959265,73125.88112174247,-1588017.7281790783,228845.25260545014,100,90.00000000000001,-7.002472245551113E8
0.09000000000000001,1.6666666666666667,0,10,0.8184915129268089,1800,10,60,3125679.8633300983,-537760.9546463324,409438.1411667538,-3978487.7554098903,852805.4087909061,100,90.00000000000001,-1.7500749736046987E9
0.1,1.6666666666666667,0,3,0.8252728708998374,1800,3,60,425926.3228583812,-8152.924188026318,4731.446733808956,-406240.48648733494,-19685.676432689746,100,100,-1.830995495605092E8
0.1,1.6666666666666667,0,6,0.8163016361460053,1800,6,60,1350848.4199435683,-123525.30294658986,72732.70241498237,-1618101.2599793684,267252.06754044624,100,100,-7.124130270217159E8
0.1,1.6666666666666667,0,10,0.8001045139293097,1800,10,60,3158505.9092192487,-514190.59205325146,405541.06568433926,-3915197.7833800185,756688.592526368,100,100,-1.7302492077323382E9
