% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 16 2021, 08:32"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),B_app (T),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio
0.3,1.6666666666666667,0,1,0.6721924919545254,1800,1,60,8362.069724495774,-4046.3275204573997,7.915853373675516,-443211.0905174563,434850.0455095422,500,300,-3.9924788986397035E7,100
0.3,1.6666666666666667,0,6,0.8634842824103446,1800,6,60,496088.0900709298,141988.34634566284,21627.146998407603,-9250678.878568562,8754616.896439025,500,300,-8.558449429011468E8,100
0.3,1.6666666666666667,0,10,0.9320299944359555,1800,10,60,1550550.1957563125,204197.60252683243,29011.213307623642,-1.6266877109480947E7,1.4716413214692248E7,500,300,-1.5000078113922935E9,100
0.32,1.6666666666666667,0,1,0.6702586906282129,1800,1,60,8314.031226024927,-3909.1882157699592,8.719364503451828,-444460.2351348909,436147.2115966102,500,320,-4.005088784396544E7,100
0.32,1.6666666666666667,0,6,0.8631680765140117,1800,6,60,495650.47244587814,151810.82907485263,23521.5258880116,-9294786.403064542,8799164.387951091,500,320,-8.609198870933911E8,100
0.32,1.6666666666666667,0,10,0.9347532910573995,1800,10,60,1556248.8876610405,184329.77660212113,29229.80317374601,-1.5921655431225382E7,1.4365522506914165E7,500,320,-1.4668377282728186E9,100
0.33999999999999997,1.6666666666666667,0,1,0.6683585448266831,1800,1,60,8266.962260733064,-3773.5576437554832,9.54502463441499,-445674.3025654429,437407.79044024955,500,339.99999999999994,-4.017366272239236E7,100
0.33999999999999997,1.6666666666666667,0,6,0.8629852676557748,1800,6,60,495325.03714910435,161650.3051044949,24931.17290719503,-9328351.925154729,8833051.23758942,500,339.99999999999994,-8.649939457423922E8,100
0.33999999999999997,1.6666666666666667,0,10,0.9373277109117051,1800,10,60,1561933.9870003967,165692.06406823682,29489.692196376403,-1.5577303415558541E7,1.4015454150065446E7,500,339.99999999999994,-1.4338622883475435E9,100
0.36,1.6666666666666667,0,1,0.6664952118047128,1800,1,60,8220.933948913418,-3639.65047990565,10.368405345767291,-446852.21556632855,438631.9815011912,500,360,-4.029299395379668E7,100
0.36,1.6666666666666667,0,6,0.8629155673241811,1800,6,60,495112.432938659,171165.54669463975,25858.212375580842,-9351950.06862532,8856859.77079129,500,360,-8.68088529790502E8,100
0.36,1.6666666666666667,0,10,0.9397200666501369,1800,10,60,1567539.1052222298,148788.73420647817,29792.692605824013,-1.5238523210281316E7,1.3671071679977946E7,500,360,-1.4015549670084999E9,100
0.38,1.6666666666666667,0,1,0.664669714328927,1800,1,60,8175.963603913144,-3507.7415712594125,11.167096295615229,-447994.12503846094,439818.6660562229,500,380,-4.0408868233044535E7,100
0.38,1.6666666666666667,0,6,0.8629614210469836,1800,6,60,495013.2893328363,180053.85354895875,26338.69687488265,-9366148.575948982,8871167.872836422,500,380,-8.702310114884294E8,100
0.38,1.6666666666666667,0,10,0.9419082622373363,1800,10,60,1573013.9151807684,133824.5828449934,30122.54425912553,-1.4908692347757163E7,1.33357665589413E7,500,380,-1.3702399522601173E9,100
0.4,1.6666666666666667,0,1,0.6628821147696876,1800,1,60,8132.045554664464,-3378.1139079584595,11.924634891363432,-449100.48212127754,440968.914453233,500,400,-4.052129934983683E7,100
0.4,1.6666666666666667,0,6,0.8631122379769799,1800,6,60,495025.4396879789,188051.14484900437,26428.05004459145,-9371577.557421364,8876588.408461805,500,400,-8.714597047558929E8,100
0.4,1.6666666666666667,0,10,0.9438818865831204,1800,10,60,1578324.1940643117,120813.10417962947,30453.78140717855,-1.459006966118048E7,1.3011831801317364E7,500,400,-1.3401215042515566E9,100
