% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph,,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,,
% Date,"Mar 15 2021, 16:50",,,,,,,,,,,,,,,
% Table,Probe Table 1 - ,,,,,,,,,,,,,,,
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),resistance (Ω),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio
0.02,1.66666666666667,0,0.001,0.367988484870896,1800,6,60,15101.7251824193,-1743796.84757578,4935243.535494,-1990401.59981124,1975227.15092531,100,20,-471077117.06631,100
0.02,1.66666666666667,0,0.1,0.374166628432137,1800,6,60,1439227.19222452,-1551348.08616492,4828037.21981359,-2825148.12569152,1385865.64124116,100,20,-554712478.121833,100
0.02,1.66666666666667,0,100,0.919465075392673,1800,6,60,3917319.30336418,-10858.322332012,15787.2453849433,-5120933.0232106,1203629.32637377,100,20,-465987449.660314,100
0.12,1.66666666666667,0,0.001,0.341155101898241,1800,6,60,14107.2749944815,-2145703.39850826,4574273.88971231,-2478136.74724232,2463970.4726542,100,120,-446064294.404218,100
0.12,1.66666666666667,0,0.1,0.347231374399182,1800,6,60,1343097.88272081,-1957672.84776739,4475038.04060357,-3288345.57933001,1945198.50101103,100,120,-527791888.378748,100
0.12,1.66666666666667,0,100,0.879768508133794,1800,6,60,3566927.07960224,-18452.3323339196,20435.4091213096,-7771065.76523632,4204159.70802424,100,120,-706640803.820329,100
0.22,1.66666666666667,0,0.001,0.310393673028873,1800,6,60,14081.784111745,-2818390.15622527,3900454.68384316,-2594918.83631443,2580779.65210867,100,220,-334271214.902941,100
0.22,1.66666666666667,0,0.1,0.314968126176751,1800,6,60,1328239.95557267,-2582989.57575395,3833163.37843567,-3401553.3998721,2073258.41307878,100,220,-422884291.141254,100
0.22,1.66666666666667,0,100,0.86277644098434,1800,6,60,3455078.86619165,-10631.8869734826,22962.6193816403,-8737674.5551124,5282598.01415541,100,220,-795455026.138224,100
0.32,1.66666666666667,0,0.001,0.320923990480955,1800,6,60,13341.4592247287,-3455677.59369912,3394727.59199382,-2567604.03056099,2554203.28371335,100,320,-227877638.98688,100
0.32,1.66666666666667,0,0.1,0.324071740879347,1800,6,60,1253722.68922209,-3190620.58955084,3345838.2405077,-3375318.12177748,2121548.40147055,100,320,-320957797.521301,100
0.32,1.66666666666667,0,100,0.858757389015437,1800,6,60,3430564.41000303,-4684.60564327812,25132.7277360828,-9079098.70687088,5648548.41798662,100,320,-827231529.905785,100
0.42,1.66666666666667,0,0.001,0.31686184288069,1800,6,60,12282.8980233614,-3323973.02831423,3147291.78505934,-2784415.68943717,2772088.2170171,100,420,-237066767.834748,100
0.42,1.66666666666667,0,0.1,0.321271587137624,1800,6,60,1156461.93255038,-3088484.18369921,3105484.16966809,-3567531.68250991,2411021.7754186,100,420,-325866515.316251,100
0.42,1.66666666666667,0,100,0.859524461582156,1800,6,60,3431384.59994182,22983.0015352046,24318.9366083051,-9108944.14158577,5677559.93440067,100,420,-832386007.248111,100
