% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 15 2021, 18:04"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),resistance (Ω),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio
0.35,1.6666666666666667,0,0.001,0.320446129868967,1800,6,60,13017.856520382233,-3462156.5562378564,3299205.5309731457,-2619919.5974124344,2606851.3648190782,100,350,-2.2336077928615466E8,100
0.35,1.6666666666666667,0,10,0.6280790038174984,1800,6,60,1.544321548210087E7,-364907.6979399921,508418.70961494034,-1.6407039543927465E7,963817.6225172183,100,350,-1.5045955050547483E9,100
0.35,1.6666666666666667,0,100,0.8586157795400737,1800,6,60,3428201.242468815,3080.943840204185,25315.581011834744,-9116794.679017993,5688596.011310519,100,350,-8.313810185336388E8,100
0.355,1.6666666666666667,0,0.001,0.32027453799186895,1800,6,60,12963.511928937505,-3458109.5067090364,3285304.765105524,-2630110.4000459104,2617096.159769278,100,355,-2.2339142349476358E8,100
0.355,1.6666666666666667,0,10,0.6279809576347771,1800,6,60,1.542154550308166E7,-364397.9841698598,507408.22446166025,-1.6418676632898405E7,997126.4765844289,100,355,-1.5056078975627313E9,100
0.355,1.6666666666666667,0,100,0.8586268650420095,1800,6,60,3428031.3818019107,4503.755460773531,25306.132570870017,-9120481.324912615,5692453.256173014,100,355,-8.318446557221977E8,100
0.36,1.6666666666666667,0,0.001,0.3200860867140453,1800,6,60,12909.25488755856,-3452855.0126484307,3271935.782444195,-2640637.4798109084,2627677.8189915563,100,360,-2.2361074996423575E8,100
0.36,1.6666666666666667,0,10,0.6278749415950186,1800,6,60,1.5400218151386768E7,-363721.4392057674,506470.6218553344,-1.6430027869819146E7,1029810.2036154633,100,360,-1.5066160956789632E9,100
0.36,1.6666666666666667,0,100,0.8586477473182565,1800,6,60,3427924.9391819746,5946.381970198116,25285.65597850799,-9123459.830654712,5695536.665878588,100,360,-8.322447153275769E8,100
0.365,1.6666666666666667,0,0.001,0.3198782085942457,1800,6,60,12855.148341982047,-3446482.1323218527,3259081.8198513896,-2651474.00469224,2638568.7934467997,100,365,-2.2400669929289156E8,100
