% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 12 2021, 16:33"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.03,0,0,0.546706939781691,1800,6,60,792751.4219175114,123811.13249726348,185.80894430423191,-3394997.2353040488,2602246.8302045492,100,30,-1.5995428076116555E9
0.03,1,0,0.817690197232608,1800,6,60,1623160.0633541571,-50574.68603651448,28501.81517859362,-1611968.2686725536,-11192.710998964809,100,30,-7.226797262793827E8
0.03,1.6666666666666667,0,0.8230291260409816,1800,6,60,1435226.729904785,-93503.1086246429,76865.35421920648,-1304646.7982616534,-130579.87740612328,100,30,-5.854586562982857E8
0.03,3.3333333333333335,0,0.8395143099443817,1800,6,60,1108327.2888878416,-178216.18543196388,192474.40302800207,-1012413.6638692461,-95914.23803339017,100,30,-4.6666903702967626E8
0.04,0,0,0.5481852582129273,1800,6,60,797064.0111425214,122561.56388961908,183.59888535283076,-3396809.724517241,2599746.7410387634,100,40,-1.5997976760419273E9
0.04,1,0,0.8140529755413792,1800,6,60,1606132.1796981574,-53532.288746636776,28253.539320997646,-1663701.110074473,57567.887515497554,100,40,-7.44737436658564E8
0.04,1.6666666666666667,0,0.8205784610178992,1800,6,60,1420452.07466171,-99332.37370757989,76206.55710681061,-1360087.586445603,-60365.061972622934,100,40,-6.077098953840196E8
0.04,3.3333333333333335,0,0.8396720888828562,1800,6,60,1097571.5962384932,-187067.9970065675,190764.26232223786,-1069816.3463221025,-27755.860994787967,100,40,-4.8796027801717156E8
0.05,0,0,0.5494562776101372,1800,6,60,800778.6525435575,121450.53668281576,182.88892504902327,-3398564.77772544,2597787.1780374134,100,50,-1.600090092424241E9
0.05,1,0,0.8105810140094372,1800,6,60,1589581.6659682384,-56135.886334017945,27990.122275777252,-1713719.7752746064,124136.86957262935,100,50,-7.661700050983496E8
0.05,1.6666666666666667,0,0.8185585953981172,1800,6,60,1406234.2114872453,-104632.19788778883,75525.05597906893,-1413424.7037928645,7189.324280242159,100,50,-6.292352554018903E8
0.05,3.3333333333333335,0,0.841182872722446,1800,6,60,1087394.7031976338,-194894.04841247437,189084.92278261535,-1124181.4361138255,36785.99712898128,100,50,-5.083510502199908E8
0.06,0,0,0.5505761866436726,1800,6,60,804055.9958963956,120440.58643820917,182.8944799933774,-3400400.512312613,2596345.5928297136,100,60,-1.6004654514685733E9
0.06,1,0,0.8073704332907856,1800,6,60,1573899.0238064204,-58375.61308827436,27729.349239770105,-1760796.721343527,186896.64949718167,100,60,-7.864320261341062E8
0.06,1.6666666666666667,0,0.8170362796574274,1800,6,60,1392888.4233196154,-109349.56897037491,74853.28299355938,-1463385.4026822767,70496.05942152247,100,60,-6.494950530479423E8
0.06,3.3333333333333335,0,0.8438246425191406,1800,6,60,1078030.8923002617,-201586.65251567314,187494.7457065999,-1174195.1419041555,96163.53083094454,100,60,-5.2731965231595224E8
