% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 16 2021, 09:49"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio
0.35,0,0,0.22269075382505407,1800,6,60,32977.95481422749,230021.30067663803,1273.4148384445896,-1.0735329438004602E7,1.0702353355967503E7,500,350,-9.96965832138141E8,100
0.35,1.6666666666666667,0,0.8629350059777076,1800,6,60,495204.51254230837,166468.65667514846,25453.43249911629,-9341358.963190768,8846181.253326407,500,350,-8.666619138513532E8,100
0.35,3.3333333333333335,0,0.9253425704528837,1800,6,60,547884.1259296869,180617.9865965826,29095.297207114607,-6838979.956192123,6291126.852056857,500,350,-6.407902945450649E8,100
0.37,0,0,0.22204873930700286,1800,6,60,32787.019788461264,231337.04800707017,1314.1804640861508,-1.072479586846554E7,1.0692010890895484E7,500,370,-9.961315542669617E8,100
0.37,1.6666666666666667,0,0.8629243334477589,1800,6,60,495048.8188678014,175708.06621424024,26151.104204142765,-9360183.081994275,8865164.941049054,500,370,-8.692765684011425E8,100
0.37,3.3333333333333335,0,0.9268236098754397,1800,6,60,548642.5778889785,188568.04289380964,30164.326027293006,-6816011.921556475,6267412.952369127,500,370,-6.39522208225229E8,100
0.38999999999999996,0,0,0.2213291236708122,1800,6,60,32573.606729536794,232611.88604171266,1351.2192862426805,-1.0712543692828687E7,1.0679972022266276E7,500,389.99999999999994,-9.951369816505923E8,100
0.38999999999999996,1.6666666666666667,0,0.8630243117121591,1800,6,60,495005.4843001082,184175.18197227985,26428.3950429401,-9369925.07184964,8874948.654475229,500,389.99999999999994,-8.709571498967993E8,100
0.38999999999999996,3.3333333333333335,0,0.928060290641984,1800,6,60,549475.7080540847,194834.26899450543,30824.455184080445,-6782213.929015465,6232770.826050292,500,389.99999999999994,-6.370793321085441E8,100
0.41,0,0,0.22054747547284054,1800,6,60,32342.549466623295,233849.76882043277,1384.827475998982,-1.0698721634580895E7,1.0666380968311224E7,500,410,-9.939960209888407E8,100
0.41,1.6666666666666667,0,0.8632245527206146,1800,6,60,495071.5212766514,191656.30346748448,26345.728945899908,-9371217.59839936,8876168.572277363,500,410,-8.717472391647955E8,100
0.41,3.3333333333333335,0,0.9290821985226928,1800,6,60,550374.9063013679,199368.17797939022,31123.47219200303,-6739007.413148098,6188674.996150542,500,410,-6.335908239381267E8,100
0.43,0,0,0.21971704498800587,1800,6,60,32097.95087883908,235054.60169580704,1415.3476932671922,-1.0683469712457052E7,1.0651373375738159E7,500,430,-9.927217874405463E8,100
0.43,1.6666666666666667,0,0.8635098523899034,1800,6,60,495241.31372411305,198002.63999820943,25967.838515204425,-9364733.58418631,8869519.20438164,500,430,-8.717003693363303E8,100
0.43,3.3333333333333335,0,0.929955817745664,1800,6,60,551329.9597591687,202208.67431296612,31113.959587345285,-6687778.797263872,6136478.83682942,500,430,-6.291910391967369E8,100
0.44999999999999996,0,0,0.2188490833200779,1800,6,60,31843.278457481447,236229.91381638972,1443.1313157128648,-1.0666923265288182E7,1.06350820627526E7,500,449.99999999999994,-9.913269373109177E8,100
0.44999999999999996,1.6666666666666667,0,0.8638638923293699,1800,6,60,495508.0650374793,203142.76380374684,25357.492298114375,-9351169.622859553,8855689.043374911,500,449.99999999999994,-8.708790799055761E8,100
0.44999999999999996,3.3333333333333335,0,0.9307058808631257,1800,6,60,552332.7962357329,203458.86353933232,30848.832094525347,-6629747.423129199,6077444.77066309,500,449.99999999999994,-6.24005010796635E8,100
