% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph,,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,,
% Date,"Mar 15 2021, 14:46",,,,,,,,,,,,,,,
% Table,Probe Table 1 - ,,,,,,,,,,,,,,,
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),cw_eh_ratio,"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio
0.03,1.66666666666667,0,10,0.980262455254947,1800,6,60,6396.82501114603,471.599615889279,36.9234202500163,-142862.677856095,136465.829642466,100,30,-130337455.356577,10
0.03,1.66666666666667,0,50,0.960766341025989,1800,6,60,153651.835192948,2709.2529640764,1024.28818849642,-1402565.60625137,1248916.15776328,100,30,-255690754.073448,50
0.03,1.66666666666667,0,100,0.954325443368699,1800,6,60,606465.438966798,243.967811914578,1079.28028732348,-3264877.41377138,2658420.47400589,100,30,-296927332.897326,100
0.04,1.66666666666667,0,10,0.976844699101645,1800,6,60,6351.65666027209,656.05499446377,43.9361318193632,-168286.930805971,161935.315876339,100,40,-153624474.483868,10
0.04,1.66666666666667,0,50,0.955127545880733,1800,6,60,151845.883702638,3222.35131175465,1404.10772247086,-1599857.32876216,1448011.90824831,100,40,-291724325.053891,50
0.04,1.66666666666667,0,100,0.948798940178362,1800,6,60,599452.593771596,564.539942602737,1316.90771603419,-3649762.86771845,3050314.06474152,100,40,-331967665.034278,100
0.05,1.66666666666667,0,10,0.97377741664176,1800,6,60,6311.3505574302,831.713605982857,48.236568971673,-191093.573900858,184782.174728899,100,50,-174521385.523466,10
0.05,1.66666666666667,0,50,0.949954746136424,1800,6,60,150192.227551291,3798.33413772563,1720.55376388779,-1780660.30930078,1630470.23483851,100,50,-324759854.036801,50
0.05,1.66666666666667,0,100,0.943528542707387,1800,6,60,592782.370136788,1057.65806782648,1611.32171118916,-4013918.84518193,3421149.72220214,100,50,-365144347.723718,100
0.06,1.66666666666667,0,10,0.971033078772898,1800,6,60,6275.45406686523,980.702984481675,51.293026631679,-211463.324746749,205187.848288227,100,60,-193177564.32533,10
0.06,1.66666666666667,0,50,0.945297897655386,1800,6,60,148689.416406706,4491.44221107424,1975.14664851514,-1944787.3693758,1796097.24165884,100,60,-354773446.951891,50
0.06,1.66666666666667,0,100,0.938536939306145,1800,6,60,586440.505645485,1652.69469927601,2010.43678975441,-4357913.12200187,3771471.49765391,100,60,-396506932.135532,100
0.07,1.66666666666667,0,10,0.968602976452461,1800,6,60,6243.58899480295,1089.41067102378,54.4206310505226,-229567.112407727,223323.520694262,100,70,-209737221.554366,10
0.07,1.66666666666667,0,50,0.941200338508298,1800,6,60,147335.727773381,5334.47860518352,2175.67728660431,-2092325.20060254,1944991.64238111,100,70,-381788246.635336,50
0.07,1.66666666666667,0,100,0.93395517823468,1800,6,60,580557.737947811,2296.02305510002,2517.87219501713,-4674896.00604015,4094340.15995979,100,70,-425428172.844563,100
0.08,1.66666666666667,0,10,0.966568707499138,1800,6,60,6215.06377747611,1151.48404144552,58.7925789691629,-245707.172017295,239492.060547599,100,80,-224470407.852464,10
0.08,1.66666666666667,0,50,0.937684886049184,1800,6,60,146128.099416841,6329.6998752332,2332.76535348779,-2223510.21756666,2077381.69215207,100,80,-405849578.690073,50
0.08,1.66666666666667,0,100,0.92979930445543,1800,6,60,575147.543568907,2959.65955300238,3119.24078114931,-4964410.88832052,4389260.39918595,100,80,-451862708.059513,100
0.09,1.66666666666667,0,10,0.965108664707207,1800,6,60,6189.68640066898,1162.16033044524,65.1611567143213,-259900.205239793,253710.520036512,100,90,-237388660.660867,10
0.09,1.66666666666667,0,50,0.934807765249472,1800,6,60,145079.503446445,7422.53391492639,2469.86540634149,-2337026.75969445,2191946.66015884,100,90,-426712574.366498,50
0.09,1.66666666666667,0,100,0.92605571230515,1800,6,60,570187.618373457,3638.60456655763,3805.18813414103,-5228056.47678209,4657882.75918093,100,90,-475954569.952977,100
0.1,1.66666666666667,0,10,0.964258143336545,1800,6,60,6169.07143662972,1120.525540212,73.1165819081057,-271360.158730238,265191.073657588,100,100,-247776182.593053,10
0.1,1.66666666666667,0,50,0.93260146245312,1800,6,60,144215.308014639,8534.68951297206,2620.19501967952,-2430602.24589638,2286385.69330627,100,100,-443955841.896194,50
0.1,1.66666666666667,0,100,0.922688821559015,1800,6,60,565666.535032822,4315.94469071559,4567.23699029217,-5467110.73953396,4901440.3901768,100,100,-497817629.201356,100
0.11,1.66666666666667,0,10,0.964031706935891,1800,6,60,6156.18593755691,1043.70042707498,81.3555343898292,-278777.675588332,272621.468261003,100,110,-254457028.681635,10
0.11,1.66666666666667,0,50,0.931046788221922,1800,6,60,143554.569769469,9620.2284607831,2814.28017618192,-2502869.37961612,2359315.85031425,100,110,-457327979.682381,50
0.11,1.66666666666667,0,100,0.919653732795341,1800,6,60,561581.152377979,5025.83849867623,5388.44584654681,-5682620.99178502,5121049.43657119,100,110,-517548661.466382,100
0.12,1.66666666666667,0,10,0.964378314774189,1800,6,60,6154.20052376068,967.116862875079,89.0012656050084,-280845.850978599,274691.603899023,100,120,-256274517.370072,10
0.12,1.66666666666667,0,50,0.930051821382942,1800,6,60,143100.743247773,10690.6725893228,3075.08151292808,-2554136.83291914,2411036.3135993,100,120,-466891379.458438,50
0.12,1.66666666666667,0,100,0.916894592747143,1800,6,60,557920.993512298,5821.67707170287,6243.01960636375,-5875934.08371784,5318021.32785225,100,120,-535272616.399621,100
0.13,1.66666666666667,0,10,0.965283885992188,1800,6,60,6166.32410304726,928.703998800645,97.8072820868875,-276398.408427983,270232.122993881,100,130,-252204472.462609,10
