% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 16 2021, 09:11"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),cw_eh_ratio,"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio
0.1,1.6666666666666667,0,10,0.9675544981722559,1800,6,60,6155.704414345247,1660.4359274279557,397.21875090824324,-276983.6609294605,270828.1574412138,500,100,-2.5367392327981588E8,10
0.1,1.6666666666666667,0,50,0.9199530976695578,1800,6,60,139877.66380498497,22252.954370156287,1719.356213983482,-2889757.7427365673,2749880.625351493,500,100,-5.297691006037639E8,50
0.1,1.6666666666666667,0,100,0.8912621146254391,1800,6,60,526872.0513204418,35035.82969244615,2812.7819667442654,-7458481.122197701,6931641.133085719,500,100,-6.814845212597113E8,100
0.12000000000000001,1.6666666666666667,0,10,0.9705725237006817,1800,6,60,6148.622733209619,1730.8711995955828,503.68953493045683,-286292.1832540575,280143.52823134727,500,120.00000000000001,-2.6229703998962262E8,10
0.12000000000000001,1.6666666666666667,0,50,0.9174732662761826,1800,6,60,138646.82803284482,26146.789501326024,2217.8269397615177,-3022327.2409615684,2883681.7714092843,500,120.00000000000001,-5.546712468004836E8,50
0.12000000000000001,1.6666666666666667,0,100,0.8846943337031878,1800,6,60,518201.35575410683,44108.39665695101,3615.136652935154,-7891969.71165195,7373796.272479748,500,120.00000000000001,-7.217902949965198E8,100
0.14,1.6666666666666667,0,10,0.9755249828563586,1800,6,60,6200.965369388347,1787.4435407923436,659.4617008004959,-273066.1773138057,266865.11057314114,500,140,-2.5046643868672636E8,10
0.14,1.6666666666666667,0,50,0.9158326077816913,1800,6,60,137955.8772682311,30760.414753506928,2846.8887468715184,-3104708.2732496522,2966751.660831957,500,140,-5.706028321363703E8,50
0.14,1.6666666666666667,0,100,0.8792256912368316,1800,6,60,511494.6027815589,55474.56409804403,4523.707121150166,-8228586.792826443,7717118.707240778,500,140,-7.535077330950497E8,100
0.16,1.6666666666666667,0,10,0.9831029093851533,1800,6,60,6328.858632527394,2041.563254268361,973.1470928300614,-236891.31141445952,230562.56264325883,500,160,-2.1809638341959944E8,10
0.16,1.6666666666666667,0,50,0.9146694192913946,1800,6,60,137746.0674595538,35971.994815835285,3690.4046683042125,-3149684.4179982683,3011937.5635685185,500,160,-5.798812395422572E8,50
0.16,1.6666666666666667,0,100,0.8746806157228089,1800,6,60,506561.3519313288,68901.85346638186,5586.954691436539,-8485030.82661935,7978504.983580777,500,160,-7.78138148616101E8,100
