% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 12 2021, 14:28"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.03,1.6666666666666667,0,0.07,0.8209932206422534,1800,6,60,1444759.3053521784,-112957.73410494965,87648.91727998143,-1300783.514643537,-143976.78650580964,70,30,-5.797612262811733E8
0.03,1.6666666666666667,0,0.1,0.8230291294087853,1800,6,60,1435226.7455620465,-93503.10025434569,76865.3551003721,-1304646.7875764542,-130579.8766307123,100,30,-5.854586556465882E8
0.03,1.6666666666666667,0,0.15,0.8198436867186233,1800,6,60,1414453.3185065903,-96149.7514024668,79231.2815034443,-1314888.1513620524,-99566.03685004998,150,30,-5.899862188468341E8
0.03,1.6666666666666667,0,0.2,0.8198789489200756,1800,6,60,1428121.5835971602,-70085.38209893255,83280.59407086167,-1314945.7809281913,-113177.04606433201,200,30,-6.037004513182453E8
0.04,1.6666666666666667,0,0.07,0.8185039386028272,1800,6,60,1430998.171249,-118498.60745493777,87049.1620294631,-1351810.6526288644,-79187.80493278606,70,40,-6.001641850924517E8
0.04,1.6666666666666667,0,0.1,0.8205784595633114,1800,6,60,1420452.0685895788,-99332.37643146118,76206.5564367777,-1360087.5853782159,-60365.060853291514,100,40,-6.077098933561516E8
0.04,1.6666666666666667,0,0.15,0.8174859386039505,1800,6,60,1400185.666347939,-102081.47476962509,78585.73265561734,-1368828.6238836239,-31358.10956359099,150,40,-6.115149462589208E8
0.04,1.6666666666666667,0,0.2,0.8176191935963817,1800,6,60,1414176.6873426677,-76143.10136177811,82577.83643615252,-1367317.5319698928,-46859.497418534396,200,40,-6.244328486564944E8
0.05,1.6666666666666667,0,0.07,0.8163187185164146,1800,6,60,1417528.350367779,-123626.7133375752,86413.17652716156,-1401625.6066797653,-15903.790691229146,70,50,-6.201873044860711E8
0.05,1.6666666666666667,0,0.1,0.818558588959507,1800,6,60,1406234.1937303287,-104632.21531985668,75525.04845757278,-1413424.7045087775,7189.33690651659,100,50,-6.292352443847727E8
0.05,1.6666666666666667,0,0.15,0.8156039054401937,1800,6,60,1386491.0550712035,-107449.5838681195,77919.14898040988,-1420620.1573842354,34128.11612063783,150,50,-6.323135102256902E8
0.05,1.6666666666666667,0,0.2,0.815739420544163,1800,6,60,1400494.6679970096,-81698.43642843964,81854.35233671124,-1418493.5342012981,17997.6579021055,200,50,-6.448406591407181E8
0.06,1.6666666666666667,0,0.07,0.8144850292376,1800,6,60,1404559.1935960136,-128287.7130035155,85749.84095984547,-1449495.5246741357,44935.45903275058,70,60,-6.395262057411273E8
0.06,1.6666666666666667,0,0.1,0.8170362737013999,1800,6,60,1392888.3969614678,-109349.58384465319,74853.28051721946,-1463385.4109342652,70496.06317639779,100,60,-6.494950489122031E8
0.06,1.6666666666666667,0,0.15,0.8142388848674821,1800,6,60,1373614.726561963,-112217.96843417434,77253.07631851936,-1469269.1108027168,95653.07745286389,150,60,-6.519564630395747E8
0.06,1.6666666666666667,0,0.2,0.8143021550150871,1800,6,60,1387392.932002469,-86706.19796115144,81132.66099201688,-1467309.4600486418,79915.67504517591,200,60,-6.644254195815974E8
