% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 16 2021, 08:04"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio
0.3,1.6666666666666667,0,0.3,0.873193085747478,1800,6,60,508036.9375065748,97651.64629074497,23713.715104763363,-8677693.598451652,8169670.057022732,300,300,-7.999144508952066E8,100
0.3,1.6666666666666667,0,0.4,0.8673219175764324,1800,6,60,500597.5775756389,113726.28155309669,20003.16411073029,-9009526.07590781,8508937.865818905,400,300,-8.312050474156126E8,100
0.3,1.6666666666666667,0,0.5,0.8634842343782143,1800,6,60,496088.03577802517,141988.27451122788,21627.13905230156,-9250680.628950529,8754615.457453722,500,300,-8.558450947739978E8,100
0.32,1.6666666666666667,0,0.3,0.8727921385685361,1800,6,60,507556.12755744276,105953.5293796467,25930.40247715317,-8723257.374028342,8215716.230819636,300,320,-8.050128459895585E8,100
0.32,1.6666666666666667,0,0.4,0.8667079869922377,1800,6,60,499815.7908603207,122330.70333153539,22040.430573499107,-9066835.526564363,8567032.442339577,400,320,-8.373824236790437E8,100
0.32,1.6666666666666667,0,0.5,0.8631680581140314,1800,6,60,495650.4522904728,151810.79048116895,23521.52345230744,-9294786.947887067,8799163.910949575,500,320,-8.609199328927705E8,100
0.33999999999999997,1.6666666666666667,0,0.3,0.8725714697518445,1800,6,60,507228.51231279335,114820.69647579508,27576.98041806566,-8756342.531296855,8249133.090277003,300,339.99999999999994,-8.089763825627965E8,100
0.33999999999999997,1.6666666666666667,0,0.4,0.8663269787535847,1800,6,60,499206.1577649468,131247.5818494512,23633.53363858821,-9111440.923469206,8612252.298163975,400,339.99999999999994,-8.423929126324873E8,100
0.33999999999999997,1.6666666666666667,0,0.5,0.8629852970916302,1800,6,60,495325.0715093913,161650.34688483065,24931.174240296783,-9328350.920031784,8833052.025576588,500,339.99999999999994,-8.649938582869897E8,100
0.36,1.6666666666666667,0,0.3,0.8725031123994237,1800,6,60,507050.5541954664,123831.5039683283,28649.645476066977,-8777752.09944436,8270724.28769216,300,360,-8.118393862626159E8,100
0.36,1.6666666666666667,0,0.4,0.8661132363704712,1800,6,60,498769.51971738326,140136.66582141526,24772.439436683773,-9143965.220674641,8645210.588124666,400,360,-8.462613023575282E8,100
0.36,1.6666666666666667,0,0.5,0.8629155817949763,1800,6,60,495112.4492699379,171165.53996171927,25858.223671037424,-9351949.007226035,8856860.362588398,500,360,-8.680884337144337E8,100
0.38,1.6666666666666667,0,0.3,0.8725681111567754,1800,6,60,507016.92353605235,132584.02235526274,29187.299551664888,-8788331.927532334,8281325.276990491,300,380,-8.136457499490175E8,100
0.38,1.6666666666666667,0,0.4,0.8660683949007874,1800,6,60,498502.99471979117,148660.68835107744,25481.48508485452,-9165121.05996228,8666638.135080997,400,380,-8.490239303089421E8,100
0.38,1.6666666666666667,0,0.5,0.8629614523159522,1800,6,60,495013.326778543,180053.9350557394,26338.696791478145,-9366147.909016592,8871168.683061019,500,380,-8.702309582603462E8,100
0.4,1.6666666666666667,0,0.3,0.8727497582242614,1800,6,60,507120.5438919591,140724.19878396325,29253.677719330575,-8788936.317960763,8281827.088489361,300,400,-8.144467449512885E8,100
0.4,1.6666666666666667,0,0.4,0.8661651361556588,1800,6,60,498399.21712273604,156532.11083732444,25805.24856466796,-9175721.270085845,8677335.521412542,400,400,-8.50732602680731E8,100
0.4,1.6666666666666667,0,0.5,0.8631122229214807,1800,6,60,495025.42240177485,188051.1284430042,26428.041992155537,-9371578.355624478,8876587.889059234,500,400,-8.714597750963266E8,100
