% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 12 2021, 15:55"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.03,1.6666666666666667,0,0.07,0.8209932264852887,1800,6,60,1444759.3244386234,-112957.72030473579,87648.9218330022,-1300783.510701498,-143976.7935438527,70,30,-5.797612328317157E8
0.03,1.6666666666666667,0,0.15,0.8198436850949402,1800,6,60,1414453.3029527199,-96149.75161851144,79231.28493628517,-1314888.1582966575,-99566.04236508321,150,30,-5.899862234611032E8
0.03,1.6666666666666667,0,0.2,0.8198789550786896,1800,6,60,1428121.6120300072,-70085.3686683127,83280.59468996247,-1314945.771782493,-113177.04729929887,200,30,-6.037004535473455E8
0.03,1.6666666666666667,0,0.3,0.8157214635519859,1800,6,60,1466209.089062908,-68644.64817141209,80913.01485219265,-1359759.031919079,-106451.26215982591,300,30,-6.236488175453936E8
0.032,1.6666666666666667,0,0.07,0.8204679740237764,1800,6,60,1441975.9780838613,-114100.0107887014,87530.8973967594,-1311121.187317116,-130855.54725551601,70,32,-5.838873063296255E8
0.032,1.6666666666666667,0,0.15,0.8193378129146459,1800,6,60,1411566.9770595129,-97377.36385142607,79104.66932915356,-1325796.8695593718,-85770.9686839613,150,32,-5.943291704714085E8
0.032,1.6666666666666667,0,0.2,0.819399764363452,1800,6,60,1425323.946858237,-71334.68397486879,83142.40710493663,-1325469.9893250274,-99855.24664085239,200,32,-6.078535056614131E8
0.032,1.6666666666666667,0,0.3,0.8152098328741396,1800,6,60,1463128.556650141,-69721.46081520936,80785.06208957014,-1370847.3613604493,-92282.05355103212,300,32,-6.281413466521869E8
0.034,1.6666666666666667,0,0.07,0.8199581360718811,1800,6,60,1439212.2085605038,-115224.632725551,87412.29012437427,-1321373.9271308207,-117839.56243874133,70,34,-5.879825384225645E8
0.034,1.6666666666666667,0,0.15,0.8188483904639599,1800,6,60,1408694.624639088,-98585.31251257176,78976.73998772124,-1336652.1420159189,-72043.43836177664,150,34,-5.986561679504852E8
0.034,1.6666666666666667,0,0.2,0.8189341367811035,1800,6,60,1422529.3458983132,-72565.66608813773,83003.03085611132,-1335973.8272875678,-86556.42436491192,200,34,-6.12005087297981E8
0.034,1.6666666666666667,0,0.3,0.8147147312582802,1800,6,60,1460075.569431557,-70783.43271637094,80655.67544402757,-1381847.9071848937,-78228.78306603698,300,34,-6.326000681420705E8
0.036,1.6666666666666667,0,0.07,0.8194607726863626,1800,6,60,1436463.7469948598,-116332.50024917263,87292.63816340902,-1331564.658665025,-104899.98646617634,70,36,-5.920567257178493E8
0.036,1.6666666666666667,0,0.15,0.8183759662770014,1800,6,60,1405838.837161224,-99772.58723441923,78847.53316611033,-1347448.7530178467,-58391.319938733766,150,36,-6.029653177043345E8
0.036,1.6666666666666667,0,0.2,0.8184816634031242,1800,6,60,1419738.5277279424,-73777.66617682832,82862.39772996254,-1346454.2753636178,-73285.22688159441,200,36,-6.161540940530722E8
0.036,1.6666666666666667,0,0.3,0.8142375914164002,1800,6,60,1457053.2130547843,-71829.56500272715,80524.98752711243,-1392751.854540202,-64302.07558683131,300,36,-6.370214895748119E8
0.038,1.6666666666666667,0,0.07,0.8189768872860038,1800,6,60,1433726.2158990926,-117423.27160448376,87171.68291206539,-1341707.7019263844,-92019.1550855436,70,38,-5.961164151063491E8
0.038,1.6666666666666667,0,0.15,0.817921825028494,1800,6,60,1403001.84695972,-100938.12383424923,78717.17987542064,-1358177.0347111863,-44825.60337425126,150,38,-6.07252768523805E8
0.038,1.6666666666666667,0,0.2,0.8180429276559247,1800,6,60,1416953.49147525,-74970.43395292098,82720.61787265845,-1356904.704587027,-60049.76744416783,200,38,-6.202976765939858E8
0.038,1.6666666666666667,0,0.3,0.8137773904547564,1800,6,60,1454063.0241887313,-72859.52870943585,80393.08965638821,-1403550.388854108,-50513.61265915929,300,38,-6.414017953641181E8
0.04,1.6666666666666667,0,0.07,0.8185039283749045,1800,6,60,1430998.1165293632,-118498.63070998648,87049.16349175057,-1351810.6830498348,-79187.81172595941,70,40,-6.001641890143651E8
0.04,1.6666666666666667,0,0.15,0.8174859439432718,1800,6,60,1400185.6863677565,-102081.46307198833,78585.73446583202,-1368828.6214337444,-31358.11364348795,150,40,-6.115149512852639E8
0.04,1.6666666666666667,0,0.2,0.8176191895142346,1800,6,60,1414176.6599869838,-76143.10995327642,82577.83836630454,-1367317.548800329,-46859.503976618274,200,40,-6.24432853278803E8
0.04,1.6666666666666667,0,0.3,0.8133354692996022,1800,6,60,1451108.0000649665,-73871.91183746724,80260.256886981,-1414232.8969490465,-36876.02391323596,300,40,-6.457369281811672E8
0.041999999999999996,1.6666666666666667,0,0.07,0.8180420036303558,1800,6,60,1428279.4458125902,-119558.47439707463,86924.96015033287,-1361874.2361714733,-66406.03826504982,70,41.99999999999999,-6.042003281476061E8
0.041999999999999996,1.6666666666666667,0,0.15,0.8170694068037841,1800,6,60,1397392.2422631097,-103202.31281649074,78453.47496378349,-1379395.0702719376,-17998.193398888237,150,41.99999999999999,-6.157482874632869E8
0.041999999999999996,1.6666666666666667,0,0.2,0.8172105465714611,1800,6,60,1411409.6392181842,-77296.070915615,82434.15157647323,-1377684.3287826064,-33726.2563086085,200,41.99999999999999,-6.285556406561235E8
0.041999999999999996,1.6666666666666667,0,0.3,0.8129116517583264,1800,6,60,1448190.5247822239,-74865.96224788787,80126.65735712985,-1424790.9065411729,-23400.31655295848,300,41.99999999999999,-6.500234552956444E8
0.044,1.6666666666666667,0,0.07,0.8175925409783946,1800,6,60,1425570.958620029,-120601.17935708305,86799.19871714903,-1371894.5341361414,-53677.18900866917,70,44,-6.082238879528275E8
