% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 12 2021, 13:32"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),sig_b (S/m),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.03,1.6666666666666667,0,35,0.7807018811146772,1800,6,35,1037196.7668418098,-103043.20494483138,94536.11638737292,-897336.9386621861,-139860.5282027817,100,30,-4.040135682294226E8
0.03,1.6666666666666667,0,45,0.8002760725307796,1800,6,45,1225200.611914581,-99386.55512798947,87150.30048847743,-1078576.214439385,-146624.8927004915,100,30,-4.846999817272189E8
0.03,1.6666666666666667,0,55,0.8161528831382017,1800,6,55,1372871.4556863848,-95426.90515028739,80114.12619462576,-1234150.3017536844,-138721.30674947967,100,30,-5.540170558172891E8
0.03,1.6666666666666667,0,65,0.829319827672096,1800,6,65,1491378.4659363022,-91651.5027551436,73811.98089932505,-1371207.9502544957,-120170.92269533822,100,30,-6.151674674539491E8
0.03,1.6666666666666667,0,75,0.8404041738614665,1800,6,75,1588347.980921278,-88197.41409702734,68274.89380539069,-1494609.0026343358,-93739.20914787658,100,30,-6.703120374285028E8
0.04,1.6666666666666667,0,35,0.7783960320515699,1800,6,35,1026185.5288779372,-108080.85038423154,93653.40907175647,-927207.378262936,-98978.82818260537,100,40,-4.148999713411195E8
0.04,1.6666666666666667,0,45,0.7979230681987667,1800,6,45,1212388.489529325,-104837.20311891806,86364.70025524507,-1118457.4724420307,-93931.54484331916,100,40,-4.999931679901674E8
0.04,1.6666666666666667,0,55,0.8137351323940439,1800,6,55,1358674.3419768768,-101153.60722401975,79415.86961732984,-1284349.305058076,-74325.61488029126,100,40,-5.739143488415372E8
0.04,1.6666666666666667,0,65,0.8268272891293957,1800,6,65,1476087.674975098,-97565.0328233387,73189.9832339653,-1431933.9522999853,-44154.58500778446,100,40,-6.397995012321017E8
0.04,1.6666666666666667,0,75,0.8378288503149999,1800,6,75,1572173.2909916698,-94236.95766674721,67719.12455192504,-1566010.6804401365,-6163.716700912475,100,40,-6.997694760569651E8
0.05,1.6666666666666667,0,35,0.776561166473217,1800,6,35,1015471.6589280338,-112782.18790763579,92758.98296700539,-956216.5033545163,-59255.93076866805,100,50,-4.2554240836995274E8
0.05,1.6666666666666667,0,45,0.7960420898875454,1800,6,45,1199988.45392329,-109868.47350227216,85563.46864389622,-1157013.684357296,-42975.931823056424,100,50,-5.1486758159042054E8
0.05,1.6666666666666667,0,55,0.8117661316187579,1800,6,55,1344989.2268202358,-106385.89339747427,78697.34179601484,-1332712.7087194168,-12277.759457030515,100,50,-5.931927986899829E8
0.05,1.6666666666666667,0,65,0.8247543727129976,1800,6,65,1461394.915024802,-102915.47960795973,72542.80694057187,-1490281.3221738306,28885.32017101645,100,50,-6.635948406847472E8
0.05,1.6666666666666667,0,75,0.8356654243525039,1800,6,75,1556670.838677898,-99649.91644445957,67133.23727525098,-1634467.0563806368,77795.05089685752,100,50,-7.281592623688371E8
0.06,1.6666666666666667,0,35,0.7752477972382377,1800,6,35,1005329.6510630494,-117080.88845323927,91887.73625795852,-983570.8460101719,-21759.488259408598,100,60,-4.356262244613139E8
0.06,1.6666666666666667,0,45,0.7946783609433475,1800,6,45,1188298.0200563043,-114418.09771376259,84780.19137490517,-1193254.4544489041,4955.5950924262215,100,60,-5.289166127772936E8
0.06,1.6666666666666667,0,55,0.8102995564980041,1800,6,55,1332127.0456379293,-111067.45827541313,77991.2671896193,-1378060.9534678555,45932.89773030357,100,60,-6.113567101736677E8
0.06,1.6666666666666667,0,65,0.8231733166552184,1800,6,65,1447619.229936001,-107653.55417102207,71902.68450094725,-1544885.2380155774,97265.02296515068,100,60,-6.8597016742978E8
0.06,1.6666666666666667,0,75,0.8339774460494999,1800,6,75,1542164.9401104539,-104393.33125721411,66549.36298185945,-1698429.4717903764,156263.5792025631,100,60,-7.548115925068325E8
