% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 16 2021, 09:26"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),sig_b (S/m),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio
0.35,1.6666666666666667,0,35,0.8581562788363131,1800,6,35,489637.542553394,94870.0766319828,14317.72799744568,-5568348.346478502,5078749.440165838,500,350,-5.1613965010072064E8,100
0.35,1.6666666666666667,0,55,0.8623201969529893,1800,6,55,494490.71582564455,152152.0292829329,23212.270863414094,-8587021.729214074,8092554.842703763,500,350,-7.965805481236633E8,100
0.35,1.6666666666666667,0,75,0.8642954793692824,1800,6,75,496780.44137509656,209412.97134910236,32196.69710889898,-1.1604001960263662E7,1.1107254975183057E7,500,350,-1.0768737844292378E9,100
0.37,1.6666666666666667,0,35,0.8581210364801265,1800,6,35,489437.7760674932,100282.52213934896,14705.74873484788,-5580440.224285291,5091028.006371197,500,370,-5.1776622683267045E8,100
0.37,1.6666666666666667,0,55,0.8623060993493377,1800,6,55,494329.3990135326,160626.51619038638,23848.028945230115,-8604500.965369936,8110200.387364962,500,370,-7.989977736823101E8,100
0.37,1.6666666666666667,0,75,0.8642924806968966,1800,6,75,496637.32016027404,220949.43565260267,33080.452805386936,-1.162685153249184E7,1.11302490035641E7,500,370,-1.080080129177241E9,100
0.38999999999999996,1.6666666666666667,0,35,0.8581938786492724,1800,6,35,489350.1727576792,105255.57243247586,14858.45513848383,-5587274.680479065,5097951.556206726,500,389.99999999999994,-5.188535189136332E8,100
0.38999999999999996,1.6666666666666667,0,55,0.8624026612310144,1800,6,55,494280.29634015786,168394.94215193903,24100.31471999992,-8613666.891038861,8119413.642760361,500,389.99999999999994,-8.005601952646068E8,100
0.38999999999999996,1.6666666666666667,0,75,0.8644002212954828,1800,6,75,496606.66291864315,231513.53998094902,33432.55356739071,-1.1638322335858967E7,1.1141732721225401E7,500,389.99999999999994,-1.0821153117642868E9,100
0.41,1.6666666666666667,0,35,0.8583667265882684,1800,6,35,489371.3617873204,109660.11479453578,14809.605910929386,-5589224.407126322,5099878.099638293,500,410,-5.1942673889379054E8,100
0.41,1.6666666666666667,0,55,0.8625994759057489,1800,6,55,494340.81963539246,175261.15597635397,24024.393650393813,-8615086.794584943,8120782.182030185,500,410,-8.013065767465099E8,100
0.41,1.6666666666666667,0,75,0.8646079104654122,1800,6,75,496685.36928944016,240835.49506813748,33329.76247239371,-1.1639194427428998E7,1.1142536648285605E7,500,410,-1.0830326986335933E9,100
0.43,1.6666666666666667,0,35,0.8586183385106764,1800,6,35,489496.82341545617,113411.95678025059,14595.515086987443,-5586661.984173068,5097200.518636916,500,430,-5.195154050945724E8,100
0.43,1.6666666666666667,0,55,0.8628803662987865,1800,6,55,494504.56197027536,181088.31650738284,23679.219022135392,-8609402.155130476,8114921.336779121,500,430,-8.012881536963611E8,100
0.43,1.6666666666666667,0,75,0.8649021652067436,1800,6,75,496868.0439070919,248743.16979146143,32853.78051725521,-1.1630336553708978E7,1.113349590938899E7,500,430,-1.082903045819776E9,100
0.44999999999999996,1.6666666666666667,0,35,0.8589355642825942,1800,6,35,489718.78948925657,116459.49563775433,14251.445686956613,-5580003.699820635,5090311.6029120125,500,449.99999999999994,-5.191558764677528E8,100
0.44999999999999996,1.6666666666666667,0,55,0.8632294767123999,1800,6,55,494765.6003141888,185809.81597401635,23122.124074078234,-8597220.649768008,8102482.667109583,500,449.99999999999994,-8.00559326346919E8,100
0.44999999999999996,1.6666666666666667,0,75,0.8652679113013949,1800,6,75,497147.54798154515,255136.99397915354,32083.71376405815,-1.1612612763022218E7,1.1115494895592533E7,500,449.99999999999994,-1.0818030427968466E9,100
