% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 12 2021, 16:50"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),u_x (m/s),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.03,1.6666666666666667,0,1000,0.8230288199617859,1000,6,60,442971.11588999967,-28859.054632569572,23723.86452384038,-402668.7564226991,-40302.53627042405,100,30,-1.806970755972594E8
0.03,1.6666666666666667,0,1800,0.8230291260566778,1800,6,60,1435226.726218644,-93503.1073597066,76865.35633526574,-1304646.7997009845,-130579.88008002886,100,30,-5.854586584893396E8
0.03,1.6666666666666667,0,2500,0.8230288272228551,2500,6,60,2768569.561577872,-180369.06501959488,148274.14695003073,-2516679.67044544,-251890.83065849336,100,30,-1.1293567056254032E9
0.04,1.6666666666666667,0,1000,0.8205784481591538,1000,6,60,438411.1145009995,-30658.149132688417,23520.54190738342,-419780.12923130894,-18631.192928272372,100,40,-1.875647827300031E8
0.04,1.6666666666666667,0,1800,0.8205784464775825,1800,6,60,1420452.0063312487,-99332.40772663621,76206.55430081532,-1360087.6203352113,-60365.0625818333,100,40,-6.077098940497295E8
0.04,1.6666666666666667,0,2500,0.8205784522967996,2500,6,60,2740069.497386709,-191613.41137096047,147003.39135542727,-2623625.7945001638,-116444.95968678952,100,40,-1.1722798974930236E9
0.05,1.6666666666666667,0,1000,0.8185585883853425,1000,6,60,434022.89739800687,-32293.894322725766,23310.200930777923,-436242.19454675895,2218.9298303169435,100,50,-1.9420840961582452E8
0.05,1.6666666666666667,0,1800,0.8185585909207324,1800,6,60,1406234.2083857097,-104632.21012741972,75525.04706663126,-1413424.6888904052,7189.342372601175,100,50,-6.292352390134667E8
0.05,1.6666666666666667,0,2500,0.8185585885772804,2500,6,60,2712643.133879665,-201836.83694355877,145688.74448696405,-2726513.6782889687,13868.336302320356,100,50,-1.2138025390147264E9
0.06,1.6666666666666667,0,1000,0.817036274653172,1000,6,60,429903.82673695637,-33749.87087519327,23102.864984102802,-451662.16505466803,21758.042846236596,100,60,-2.0046143598344642E8
0.06,1.6666666666666667,0,1800,0.8170362765649823,1800,6,60,1392888.4181407322,-109349.5793254478,74853.27770879827,-1463385.4003331687,70496.06822100672,100,60,-6.494950448711462E8
0.06,1.6666666666666667,0,2500,0.8170362699363938,2500,6,60,2686898.88948166,-210936.71825376645,144392.89671844634,-2822888.5304791625,135987.78272258557,100,60,-1.2528839586108382E9
