% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 22 2021, 11:42"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.02,1.6666666666666667,0,0.8255513746027975,1800,6,60,1443376.0332419933,-90591.83745890282,77408.69427985325,-1271070.8794678852,-172306.0587623681,100,20,-5.717671528585612E8
0.025,1.6666666666666667,0,0.824381928548902,1800,6,60,1442689.6981418268,-90426.67151390112,77174.70054493025,-1276670.7611341223,-166019.7649147451,100,25,-5.742812682568909E8
0.03,1.6666666666666667,0,0.8230291236910493,1800,6,60,1435226.7262509433,-93503.1126066836,76865.3511265533,-1304646.7888539599,-130579.87066611505,100,30,-5.854586488062941E8
0.035,1.6666666666666667,0,0.8217562232532211,1800,6,60,1427795.0099425188,-96477.80641909926,76541.11398910482,-1332528.3866077263,-95267.18587745802,100,35,-5.966325882626106E8
0.04,1.6666666666666667,0,0.8205784488362783,1800,6,60,1420452.0076082258,-99332.4002305798,76206.55893905187,-1360087.6218523593,-60365.06989858978,100,40,-6.07709900254924E8
0.045,1.6666666666666667,0,0.8195080437455932,1800,6,60,1413250.5668320719,-102053.17716629844,75866.3667210597,-1387111.8592659251,-26139.844012048387,100,45,-6.186022949184978E8
0.05,1.6666666666666667,0,0.8185585928722529,1800,6,60,1406234.2179366038,-104632.20602922715,75525.04727988574,-1413424.689069536,7189.341265918178,100,50,-6.292352410546393E8
0.05500000000000001,1.6666666666666667,0,0.8177355071443954,1800,6,60,1399437.931409337,-107064.57807546765,75186.44276963231,-1438883.6413624445,39444.91824135971,100,55.00000000000001,-6.395479572984613E8
0.06,1.6666666666666667,0,0.817036272064656,1800,6,60,1392888.3869295374,-109349.58917840729,74853.28203461242,-1463385.4186539557,70496.060059442,100,60,-6.494950506864407E8
0.065,1.6666666666666667,0,0.8164557096021418,1800,6,60,1386601.8100201823,-111488.19108557122,74527.5928002686,-1486872.4859064994,100269.8198691523,100,65,-6.590508580096401E8
0.07,1.6666666666666667,0,0.8159950611645697,1800,6,60,1380577.0562202898,-113492.66659207834,74211.66430990414,-1509330.4446725235,128752.03296109232,100,70,-6.682042919956166E8
0.075,1.6666666666666667,0,0.8156615095401306,1800,6,60,1374806.0752824075,-115386.54266781712,73908.90148218523,-1530761.0422451817,155953.4825950922,100,75,-6.769470004816239E8
0.08,1.6666666666666667,0,0.8154728939575642,1800,6,60,1369290.185127329,-117195.00398627817,73624.0370763552,-1551119.7304204605,181828.60823803645,100,80,-6.852494379593331E8
0.085,1.6666666666666667,0,0.8154467376727738,1800,6,60,1364056.8506519927,-118935.03458970606,73361.89972880112,-1570278.0737681144,206220.51121490283,100,85,-6.930476995032791E8
0.09000000000000001,1.6666666666666667,0,0.8155902475289688,1800,6,60,1359171.5673980648,-120599.71655557584,73125.88178232027,-1588017.7295849493,228845.25189339102,100,90.00000000000001,-7.002472249144144E8
0.095,1.6666666666666667,0,0.8158910803685364,1800,6,60,1354730.6912439067,-122151.99609380036,72916.84388359947,-1604058.2612693163,249326.41705929636,100,95,-7.06737776845057E8
0.1,1.6666666666666667,0,0.816301633228475,1800,6,60,1350848.4077362209,-123525.31345359932,72732.70079445367,-1618101.2658674754,267252.0692979673,100,100,-7.124130241856129E8
