% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 22 2021, 12:43"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.02,1.6666666666666667,0.004,0.8472963403160424,1800,6,60,1472075.8040073167,-116251.54960499144,92720.0636020442,-1356624.674903043,-115451.97970967556,100,20,-6.059514495000433E8
0.02,1.6666666666666667,0.0012,0.8318090914578664,1800,6,60,1452523.6800123441,-97379.55630544858,81635.6600630492,-1294314.624500861,-158209.51430241333,100,20,-5.81168512844759E8
0.025,1.6666666666666667,0.004,0.8457539976814095,1800,6,60,1472315.3666463145,-115363.70154141424,92492.61273026434,-1359687.9223919713,-112629.36864318344,100,25,-6.07644015264012E8
0.025,1.6666666666666667,0.0012,0.8305694231168126,1800,6,60,1452090.4524705226,-97059.12723108187,81401.88160065423,-1299424.4259597086,-152667.3782572563,100,25,-5.835305365133096E8
0.03,1.6666666666666667,0.004,0.8449163657832309,1800,6,60,1465484.3352618874,-119378.12142154804,92162.95906933972,-1395252.7287265402,-70233.09311817092,100,30,-6.218352574428828E8
0.03,1.6666666666666667,0.0012,0.8293475704073928,1800,6,60,1444790.214068745,-100376.285188081,81085.52638845974,-1329376.399312125,-115415.22318617947,100,30,-5.954934729602321E8
0.035,1.6666666666666667,0.004,0.8442061256391163,1800,6,60,1458723.2414220315,-123243.1482030882,91817.19530999355,-1430553.4609223746,-28170.94166539934,100,35,-6.359670491042296E8
0.035,1.6666666666666667,0.0012,0.8282174256515279,1800,6,60,1437532.7314386654,-103579.99718325812,80753.87075399711,-1359195.951885622,-78338.04365705512,100,35,-6.074408297528939E8
0.04,1.6666666666666667,0.004,0.8436379034674494,1800,6,60,1452081.6392308762,-126937.05362371351,91460.50361423813,-1465309.5716572711,13226.791966367593,100,40,-6.499241007490026E8
0.04,1.6666666666666667,0.0012,0.8271953646818291,1800,6,60,1430373.5403978874,-106651.33666507286,80411.62826291297,-1388641.5040899063,-41733.062644834674,100,40,-6.192735434944348E8
0.045,1.6666666666666667,0.004,0.8432156612593452,1800,6,60,1445600.6795371124,-130445.94942768547,91098.2941628393,-1499274.6659778722,53672.77127492529,100,45,-6.63603186687746E8
0.045,1.6666666666666667,0.0012,0.8262939422341176,1800,6,60,1423361.7615459983,-109575.98601174561,80063.88048298957,-1417491.0303540954,-5870.928527693977,100,45,-6.308995112842498E8
0.05,1.6666666666666667,0.004,0.8429443463826229,1800,6,60,1439314.558962581,-133762.4309934939,90735.5598063585,-1532245.8180966722,92930.08190197346,100,50,-6.769177031407009E8
0.05,1.6666666666666667,0.0012,0.8255207390873027,1800,6,60,1416536.6756090054,-112347.11146058884,79715.03442046467,-1445557.5386794705,29019.729072689086,100,50,-6.422388461997112E8
0.05500000000000001,1.6666666666666667,0.004,0.8428166706563838,1800,6,60,1433250.6612117405,-136883.9069214561,90376.55225502532,-1564058.2020856761,130806.87829976021,100,55.00000000000001,-6.897958397360189E8
0.05500000000000001,1.6666666666666667,0.0012,0.824877341099572,1800,6,60,1409933.311733405,-114960.26199885883,79369.04083457214,-1472697.3543461694,62763.13175940067,100,55.00000000000001,-6.532300605372218E8
0.06,1.6666666666666667,0.004,0.8428215471712359,1800,6,60,1427430.295210718,-139810.64878032802,90024.41877291794,-1594591.965443772,167160.64100568832,100,60,-7.021844251983471E8
0.06,1.6666666666666667,0.0012,0.8243631957462663,1800,6,60,1403576.3792954374,-117413.74073529891,79028.96312778209,-1498797.7180645838,95220.22054799314,100,60,-6.638240638441255E8
0.065,1.6666666666666667,0.004,0.8429422670155098,1800,6,60,1421865.0502167367,-142545.0079229903,89681.43467771367,-1623782.718025424,201916.64838606055,100,65,-7.140541567182556E8
0.065,1.6666666666666667,0.0012,0.8239740572835049,1800,6,60,1397480.4749059377,-119709.83415423323,78696.78726410655,-1523800.6806271097,126319.02367496339,100,65,-6.739943789713626E8
0.07,1.6666666666666667,0.004,0.8431718181135635,1800,6,60,1416549.112709093,-145106.23471175542,89349.99733945545,-1651629.7163723523,235080.12212865887,100,70,-7.25397035909119E8
