% Model,Evan_segmented_faraday_v6_suboptimal.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 22 2021, 08:19"
% Table,Probe Table 1 - 
% B_z_inlet (T),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power"
0,0,0,0.71750034750164,1800,6,60,1369204.0923868653,27312.56771978994,47.182541776544646,-3017450.8592671263,1648248.1849217291,100,100,-1.3840048225130432E9
0,1.6666666666666667,0,0.7370455786927744,1800,6,60,951529.3203668919,-234008.68626122328,55660.025856014385,-2763638.882662684,1812109.010517642,100,100,-1.1751319192079518E9
1,0,0,0.7535568358608216,1800,6,60,1510923.602401607,16056.699029787125,34.04137757019368,-2797350.796235777,1286428.5548048639,100,100,-1.2788370621105268E9
1,1.6666666666666667,0,0.7365871152741237,1800,6,60,1050903.3829269826,-215072.07101236124,60109.08457775154,-2526854.4380921507,1475950.4196899943,100,100,-1.0781324780261562E9
2,0,0,0.789613324464273,1800,6,60,1659631.2539452794,7908.776016196382,25.684134128832863,-2526435.501408533,866805.5246690325,100,100,-1.1519863461631234E9
2,1.6666666666666667,0,0.750229539904565,1800,6,60,1155217.4791647368,-188905.2435550136,64764.18986154507,-2238152.660042973,1082934.3640326795,100,100,-9.609143665225052E8
3,0,0,0.8256698115288157,1800,6,60,1815327.039229138,2868.7980264468347,22.110815526270528,-2204704.988640036,389379.0649714364,100,100,-1.0034526806736432E9
3,1.6666666666666667,0,0.7743168441291353,1800,6,60,1264471.5768241985,-155508.78682612747,69625.32763103301,-1897533.6346001786,633060.9259500339,100,100,-8.234773524568604E8
4,0,0,0.8617263027124357,1800,6,60,1978010.9833120962,936.7651457803314,23.321416947262712,-1832159.1954004352,-145850.7107448982,100,100,-8.332360372559931E8
4,1.6666666666666667,0,0.8026185754141206,1800,6,60,1378666.0053604108,-114881.0165074001,74692.54281218835,-1504997.3518203,126330.3429658098,100,100,-6.658222173295815E8
5,0,0,0.8977827926038179,1800,6,60,2147683.062976087,2112.677225134506,29.31594377335977,-1408798.172860066,-738883.881178287,100,100,-6.41336439104084E8
5,1.6666666666666667,0,0.8333500714019688,1800,6,60,1497800.7450228236,-67023.19857534286,79965.72042204454,-1060544.4294139524,-437258.2059306373,100,100,-4.8794861420938784E8
6,0,0,0.9338392844236169,1800,6,60,2324343.2933448385,6396.534571192779,40.09439376466001,-934621.8795087881,-1389720.3810329386,100,100,-4.277538674880691E8
6,1.6666666666666667,0,0.8670846311810118,1800,6,60,1621874.8921739107,-11935.112871833026,85445.11660551731,-564172.6361534141,-1057703.854779413,100,100,-2.898557454032274E8
